#Partida,,,,B. betiko aurrek.,Eskubide onartu garbiak,Bilketa likidoa,Kobratzeko,Itzulketak
2 112.01 2017,,1,LANDA ONDASUNAK,5993.4,6080.57,6039.34,41.23,
2 112.02 2017,,2,HIRI-ONDASUNAK,5169401.58,5186955.35,4998314.35,188641.0,43044.91
2 113.01 2017,,3,TRAKZIO MEKANIK.IBILGAILUEN GAIN.ZERGA,1560000.0,1559379.64,1492540.29,66839.35,13862.65
2 114.01 2017,,4,HIRI-LURREN BALIO GEHIKUNTZ. GAIN.ZERGA,573000.0,262069.66,236133.54,25936.12,7233.27
2 130.01 2017,,5,ENPRESA JARDUERA,916000.0,983056.21,181017.41,802038.8,4324.26
2 282.01 2017,,6,"ERAIKUNT., INSTAL.ETA OBREN GAIN.ZERGA",262000.0,203872.34,131606.1,72266.24,
2 310.03 2017,,9,UDAL HILERRIAK,53000.0,47113.75,37446.11,9667.64,617.42
2 310.04 2017,,10,AGIRIAK EGITEA,20000.0,10560.52,8252.48,2308.04,49.0
2 310.05 2017,,11,IBILGAIL.BIDE PUBLIK.JASO ETA KENTZEA,41000.0,37520.0,37520.0,,154.0
2 310.11 2017,,112,IRAKASK.BEREZ.UDALERRIEN IKATETXEETAN,31000.0,10977.4,10977.4,,
2 310.12 2017,,392,LAGUNT.ETA EGONALD.ETXEBIZITZA ETA EGOIT,,2184.0,1936.0,248.0,
2 310.16 2017,,316,MUSEOAREN SARRERA TASAK,3000.0,6008.5,6008.5,,
2 310.80 2017,,615,ETXEZ-ETXEKO LAGUNTZA,68000.0,33034.52,31892.49,1142.03,242.89
2 310.81 2017,,586,TUTELAPEKO ETXEBIZITZEN TASAK,,,,,
2 310.82 2017,,616,EUSKALTEGIKO MATRIKULAK,40000.0,18694.34,18658.09,36.25,
2 310.90 2017,,581,ATESTATUAK,3500.0,3700.0,3700.0,,
2 310.91 2017,,679,ENERGIA-HORNIDURA,,,,,
2 321.02 2017,,15,BIDE PUBLIKOKO KIOSKOAK,2138.0,2138.72,1604.04,534.68,
2 321.04 2017,,16,"MAHAIAK, AULKIAK, TRIBUNAK, OHOLTZAK",27000.0,32095.62,29984.69,2110.93,334.4
2 321.05 2017,,17,"POSTUAK, BARRAKAK,ETA AZTEAZKIEN.AZOKA",55000.0,55300.2,41858.4,13441.8,
2 321.06 2017,,773,"PORTADAK, ERAKUSLEIHOAK ETA BITRINAK",,,,,
2 321.09 2017,,18,"LURRA , LURPEA ETA HEGALKINAK ERABILTZEA",275000.0,219172.2,203164.11,16008.09,
2 321.91 2017,,772,KUTXAZAIN AUTOMATIKOAK,,,,,
2 321.99 2017,,19,B.ESK.BATZ.HERRI JABARIA ERABILTZEAG.,27000.0,29236.73,14176.89,15059.84,
2 322.01 2017,,20,APARKAMENDUA GORDE,33500.0,33280.33,32671.74,608.59,1394.82
2 340.01 2017,,21,UDAL LOKALEN ERABILERA,40000.0,28405.79,25301.05,3104.74,
2 340.02 2017,,315,IKUSKIZUNETARAKO SARREREN PREZIOAK,45500.0,48171.5,48171.5,,
2 340.03 2017,,445,DIRU-SARRERAK IKATAROENGATIK,4000.0,2332.25,2317.25,15.0,45.0
2 340.04 2017,,588,BILDUT. DIRUAR.ARABER.KONTRAT. MUSIKA,20000.0,19271.0,19271.0,,
2 340.05 2017,,589,BILDUT.DIRUAR.ARAB.KONTRAT. ANTZERKIA,10000.0,,,,
2 340.06 2017,,617,BILD. DIRUA.ARAB. ANTZERKI IHARDUNALD.,46000.0,34518.0,34518.0,,
2 341.01 2017,,87,ARGI INDARRAREN EKOIZPENA,27000.0,35265.29,35265.29,,
2 380.01 2017,,22,ITXITAKO AURREKONTUETAKOAK,35000.0,17360.05,17360.05,,
2 391.01 2017,,23,ISUNAK,180000.0,158774.0,102814.0,55960.0,910.0
2 392.01 2017,,24,"PREMIAMENDI. ERREKARGUAK, KOSTUAK",45000.0,39684.62,39684.62,,257.44
2 393.01 2017,,25,BERANDUTZA INTERESAK,3000.0,2485.69,2485.69,,2856.99
2 396.01 2017,,26,TELEKOMUNIKAZIOET.OPERADOREAK,90000.0,81522.84,81522.84,,
2 396.04 2017,,29,PARTIKULARREN KONTURA EGINDAKO LANAK,,250.82,250.82,,
2 396.05 2017,,562,ORDEZKO BETEARAZPENA,12000.0,,,,
2 399.01 2017,,33,BESTE HAINBAT SARRERA,50000.0,23638.73,22723.73,915.0,747.31
2 399.02 2017,,34,PORTALEAKO DIRU-SARRERAK,1000.0,1407.6,1407.6,,
2 399.04 2017,,73,LIBURU SALMENTAREN DIRU-SARRERAK,1500.0,1520.38,1520.38,,
2 399.08 2017,,264,DIRU SARRERAK GLLK ITZULZEAGATIK,3000.0,2283.21,1486.71,796.5,
2 399.99 2017,,320,ALDEKO DIFERENTZIAK KUTXAN,6.0,25.0,25.0,,
2 400.01 2017,,37,ITUNDU GABEKO ZERGETAKO PARTAIDETZA,33000.0,26825.28,26825.28,,
2 410.04 2017,,252,DROGAMENPEKOTASUNERAKO LANGIL.ETA PROGR.,43212.12,,,,
2 410.06 2017,,43,E.J. OINARRIZKOP LANBIDE HEZIKET.UDAL IK,306200.0,204130.24,204130.24,,
2 410.09 2017,,523,E.J. K.I.U.B. DIRULAGUNTZA,20000.0,18061.39,18061.39,,
2 410.10 2017,,163,E.J. ERREF.LANGIL.GIZART.PROGR.DIRUL.,33263.0,,,,
2 410.12 2017,,62,E.J. HAUR ETA GAZT.ART.IRAK..LIBUR.ZERB.,2716.0,,,,
2 410.13 2017,,127,E.J. LIBURUTEGI-FOND.HORNITZ.ETA BERRIZ,9808.0,,,,
2 410.14 2017,,681,E.J. MUSEORAKO DIRULAGUNTZA,8800.0,,,,
2 410.16 2017,,130,E.J. DIRU-LAG.EUSKERA BIZ.PLAN NAGUS.,15000.0,,,,
2 410.17 2017,,45,E. J.  GIZARTE LARR.LAGUNTZAK (G.L.L.),305687.0,229266.0,229266.0,,
2 410.22 2017,,159,E.J. ETORKINEN INGURURAKO UDAL PLANA.,30658.5,,,,
2 410.23 2017,,582,E.J. IHOBE. UDALSAREA 21,,,,,
2 410.24 2017,,318,EUSKO JAURLARITZA. GAZTERIA,,,,,
2 410.25 2017,,770,LANBIDE. ENPLEGU PLANA: BERTAKO PLANA,84455.59,,,,
2 410.26 2017,,465,LANBIDE. ENPLEGU PLANA: ESJUALDEKO PLANA,175169.3,,,,
2 410.27 2017,,676,LANBIDE. ENPLEGU PLANAK. ENPRESAK,,-20532.53,-20532.53,,20532.53
2 410.35 2017,,632,E.J. KULTURA PROGRAMAT.DIRULAGUNTZA,23000.0,19500.0,19500.0,,
2 410.37 2017,,738,"E.J. BAKE, BIZIKIDETZA, ESK DIRULAGUNTZA",,,,,
2 410.38 2017,,739,E.J. JARDUERA FISIKOA SUSTATZ.PROG.DIRUL,,,,,
2 411.02 2017,,633,H.A.B.E.,293000.0,210474.5,210474.5,,
2 412.02 2017,,518,EVE,,,,,
2 412.03 2017,,587,IVAP,5500.0,,,,
2 420.01 2017,,46,UDAL FINANTZAKETARAKO FORU FONDOA,17445553.8,13084165.33,13084165.33,,
2 420.02 2017,,75,F.A. ETXEZ ETXEKO LAGUNTZA,274716.1,139301.39,139301.39,,
2 420.03 2017,,193,FORU ALDUNDIA. GAZTERIA SAILAREN DIRULAG,9000.0,,,,
2 420.04 2017,,194,F.A. EUSKARA BIZIBERRITZEKO PLAN NAGUSIA,15000.0,,,,
2 420.05 2017,,321,"F,A. DIRU LAGUNTZAK BERDINTASUNERAKO",13680.0,,,,
2 420.06 2017,,640,FORU ALDUNDIA. EMPLEGUA BULTZATZEKO PROG,,,,,
2 420.07 2017,,218,F.A. MUSEORAKO DIRU-LAGUNTZA,10000.0,9000.0,9000.0,,
2 420.09 2017,,393,"F.A. ANTZERKIA, MUSIKA",13000.0,,,,
2 420.14 2017,,522,FORU ALDUNDIA. DOKUMENTU BERRIZTU,,,,,
2 420.16 2017,,743,F.A.BASOAK ZAINDU ETA HOBETZEKO DIRULAG.,,,,,
2 420.17 2017,,700,"F.A. FRENTE GUERRA,SECTOR EIBAR IKUSENTZ",,,,,
2 420.27 2017,,579,FORU ALD.HERRITAR.PARTAIDETZ.SUSTATZ.PR.,,,,,
2 420.28 2017,,771,F.A. TOKIKO AGENDA 21AK GARATZEKO DIRUL.,,,,,
2 420.29 2017,,583,FORU ALD.GIPUZKO@IKT:UDALAK DIRULAG.,,,,,
2 420.30 2017,,634,F.A. ANTZERKI IHARDUNAKDIAK. DIRULAG.,18000.0,18750.0,18750.0,,
2 420.31 2017,,695,FORU A. OROIMEN HISTORIK.ALORREAN DIRULA,,,,,
2 420.32 2017,,696,FORU ALD.ANIZTASUNEAN BIZIKIDETZA,,,,,
2 420.33 2017,,698,FORU A.TOKIKO ENERG.AURRESP.ETA ERAGINK.,,,,,
2 420.34 2017,,736,FORU ALDUNDIA. KULTURA BONUA,,,,,
2 420.35 2017,,740,FORU ALD. EZOHIKO FUNTZA GIZART.ZERB.,,,,,
2 471.01 2017,,51,BEST.ENPRES.ANTZERKI IHARDUNALD.,1000.0,,,,
2 491.01 2017,,734,E.G.A.E.F.,,,,,
2 499.02 2017,,636,URB GRADE ALEXANDRA INST. DK,,,,,
2 540.01 2017,,52,HIRI-FINKEN ERRENTAMEND.EMAITZA,59000.0,37060.18,32212.75,4847.43,
2 549.01 2017,,500,BESTELAKOAK,,,,,
2 560.01 2017,,53,GORDAILULEN INTERESAK,40000.0,16733.64,16733.64,,
2 614.01 2017,,735,GARRAIO ELEMENTUENA,,,,,
2 651.01 2017,,249,HIRIGINTZAKO APROBETXAMENDUAK,,,,,
2 710.02 2017,,198,E.J. DIRU-LAG.ESKOLET.OBRETARAKO,50000.0,4407.23,4407.23,,
2 710.04 2017,,699,EUSKO JAURLARITZA. HIRIGUNE,34500.0,,,,
2 710.08 2017,,565,E.J. HAINB. INTERTSIO EGITEKO DIRUL.,,,,,
2 710.13 2017,,470,E.J.LIBURUTEG.TEKNOL.BERRIAK EZARTZ.DIRU,,,,,
2 712.02 2017,,741,E.E.E.,,,,,
2 720.01 2017,,769,GIPUKOAKO FORU DIPUTAZIOARENA,150000.0,,,,
2 720.04 2017,,737,F.ALDUNDIA. LANDA BIDEENTZAKO DIRU LAGUN,,,,,
2 722.01 2017,,578,DEBEMEN,,,,,
2 793.01 2017,,742,GRAN AGREEMENT DIRULAGUNTZA,,,,,
2 823.02 2017,,447,BESTE AURRERAK.ETA MAILEGU BATZ.,12600.0,12600.0,12600.0,,
2 833.01 2017,,57,PERTSONALAREN AURRERAKINAK,20000.0,28598.19,19257.44,9340.75,
2 860.01 2017,,58,FIDANTZAK ITZULTZEA EPE LABURRERA,100.0,,,,
2 860.02 2017,,118,EPE LUZERA FIDANTZAK IZULTZEA,100.0,,,,
2 870.01 2017,,638,ALTXORTEGI GERAKINA. GASTU OROKORRAK,5018280.35,,,,
2 870.02 2017,,72,DIRUZ.GERAKINA GASU OROKORRETAKO,143602.0,,,,
2 933.01 2017,,59,TOKIKO SEKTORE PUBLIKOTIK KANPOK.,3744312.61,,,,
#GUZTIRA: ,,,,38240453.35,23277688.21,21985780.16,1291908.05,96606.89
