#Partida,,,,Has.ko aurrek.,B. betiko aurrek.,Atxikipenak,Baimendua,Erabilgarria,Xedatua,Obligazioa,ME,Ordainketa
1 0200.226.99.172.00 2017,,113,BESTE HAINBAT GASTU,29500.0,47323.0,,18303.03,29019.97,18303.03,2644.42,2644.42,2644.42
1 0200.226.99.172.00 2016,,850,BESTE HAINBAT GASTU,,2399.01,,2399.01,,2399.01,2399.01,2399.01,2399.01
1 0200.227.07.151.00 2017,,39,AZTERKETA ETA LAN TEKNIKOAK,30000.0,30000.0,,,30000.0,,,,
1 0200.227.07.151.00 2016,,851,AZTERKETA ETA LAN TEKNIKOAK,,32766.8,,32766.8,,32766.8,12922.8,12922.8,12922.8
1 0200.227.07.172.00 2017,,114,AZITAINGO LURZORUAREN KALIT.KONTR.,10000.0,10000.0,,,10000.0,,,,
1 0200.227.07.172.00 2016,,852,AZITAINGO LURZORUAREN KALIT.KONTR.,,5110.73,,5110.73,,5110.73,3722.26,3722.26,3722.26
1 0200.227.90.151.00 2017,,40,KANPOKO LANAK,255700.0,255700.0,,34898.4,220801.6,34898.4,34898.4,34898.4,34898.4
1 0200.227.90.151.00 2016,,853,KANPOKO LANAK,,100976.92,,99584.21,1392.71,83612.21,15126.21,15126.21,15126.21
1 0200.227.99.151.00 2017,,41,KONTRATOAK KANPOKOEKIN. NEURKETAK,1500.0,1500.0,,,1500.0,,,,
1 0200.227.99.172.00 2017,,115,KANPOKO BESTELAKO LANAK,6000.0,6000.0,,204.48,5795.52,204.48,204.48,204.48,204.48
1 0200.227.99.172.00 2015,,854,KANP.BEST.LANAK.ARRAT.PL.BEREZ.IDAZTEA,,43000.0,,43000.0,,27948.58,,,
1 0200.230.01.151.00 2017,,42,PERTSONAL DIETAK/GARRAIOA/LEKUALDAKETA,100.0,100.0,,257.62,-157.62,257.62,257.62,257.62,257.62
1 0200.230.01.172.00 2017,,986,"PERTSONALAREN DIETAK, GARRAIOA ETA LEK.",100.0,100.0,,,100.0,,,,
1 0200.480.01.152.20 2017,,44,FAMILIEI. KALEKO IGOGAILUEN MANTENIM.,10000.0,10000.0,,10000.0,,,,,
1 0200.480.01.152.30 2017,,569,FAMILIEI,70000.0,97831.5,,97831.5,,85183.0,66114.94,63914.94,63914.94
1 0200.480.01.152.30 2016,,855,FAMILIEI,,2710.0,,2710.0,,2710.0,2710.0,2710.0,2710.0
1 0200.481.21.152.20 2017,,845,DIRU-LAG.HERRIKO KOADRILA ELKARTEARI,30000.0,30000.0,,10000.0,20000.0,,,,
1 0200.601.16.172.00 2017,,987,"BESTE LAN BATZUK, INGURUMENA",30000.0,20000.0,,,20000.0,,,,
1 0200.624.01.172.00 2017,,988,GARRAIO-MATERIALA,3000.0,3000.0,,,3000.0,,,,
1 0200.643.01.172.00 2016,,856,"IKERKETA, AZTERKETA ETA PROIEKTUAK",,6110.5,,6110.5,,6110.5,,,
1 0200.780.02.152.20 2017,,45,FAMIL.FATXADAK/IGOGAILUAK BIRGAITU,150000.0,150000.0,,150000.0,,,,,
1 0200.780.03.152.20 2017,,1009,J.A.MOGEL/F.M.MALLEA ERAIK.ERAB.ENERG.,,334549.5,334549.5,,,,,,
1 0300.120.01.153.20 2017,,46,OINARRIZKO ORDAINKETAK,120261.93,120261.93,,76820.55,43441.38,76820.55,76820.55,76820.55,76820.55
1 0300.121.99.153.20 2017,,47,BESTE OSAGARRI BATZUK,208640.27,208640.27,,164430.23,44210.04,164430.23,164430.23,164430.23,164430.23
1 0300.160.01.153.20 2017,,48,GIZARTE SEGURANTZA,77188.0,77188.0,,54374.91,22813.09,54374.91,54374.91,54374.91,54374.91
1 0300.160.04.153.20 2017,,49,ELKARKIDETZAREN KUOTAK,7552.44,7552.44,,4711.8,2840.64,4711.8,4711.8,4711.8,4711.8
1 0300.230.01.153.20 2017,,50,PERTSONAL.DIETAK/GARRAIOA/LEKUALDAKETA,100.0,100.0,,113.38,-13.38,113.38,113.38,113.38,113.38
1 0300.601.07.153.20 2017,,51,ERREBAL,2055515.69,2055515.69,,2055515.69,,1956174.69,,,
1 0300.601.07.153.20 2016,,858,ERREBAL,,2013021.71,,2013021.71,,1989876.62,1021523.79,824709.17,824709.17
1 0300.601.08.153.20 2017,,52,HIRI INGURUEN HOBEKUNTZA-IRISGARRITASUNA,1210000.0,1600000.0,,450499.62,1149500.38,573.54,573.54,573.54,573.54
