#Partida,b,c,Descripción,Hasierako aurr.,Behin bet aurr.,Atxekipenak (RC),Erabilgarria,Baimendua ,Erabilia ,Onart. Oblig.
1 0200.160.01.172.00 2025 (784),,,GIZARTE SEGURANTZA,13868.25,13868.25,0.0,7791.17,6077.08,6077.08,6077.08
1 0200.160.04.151.00 2025 (36),,,ELKARKIDETZAREN KUOTAK,11308.87,11308.87,0.0,5796.06,5512.81,5512.81,5512.81
1 0200.160.04.172.00 2025 (983),,,ELKARKIDETZAREN KUOTAK,1615.37,1615.37,0.0,800.64,814.73,814.73,814.73
1 0200.201.01.152.20 2025 (1545),,,ERAIKINAK ETA BESTELAKO ,6000.0,6000.0,0.0,178.68,5821.32,5821.32,2831.4
1 0200.220.01.152.20 2025 (1546),,,MATERIAL ARRUNT EZ-,500.0,500.0,0.0,500.0,0.0,0.0,0.0
1 0200.221.01.152.20 2025 (1547),,,ENERGIA ELEKTRIKOA. TXONTA ,1000.0,1000.0,0.0,1000.0,0.0,0.0,0.0
1 0200.224.01.152.20 2025 (1235),,,ASEGURUAK,1500.0,1500.0,0.0,1500.0,0.0,0.0,0.0
1 0200.226.99.151.00 2025 (38),,,BESTE HAINB.GASTU.ORDEZK.,5000.0,5000.0,0.0,5000.0,0.0,0.0,0.0
1 0200.226.99.172.00 2025 (113),,,BESTE HAINBAT GASTU,60000.0,60000.0,0.0,39471.2,20528.8,20528.8,11886.4
1 0200.227.05.172.00 2025 (2075),,,LUR ETA ONDASUN NATURALAK ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0200.227.07.151.00 2025 (39),,,AZTERKETA ETA LAN TEKNIKOAK,375000.0,375000.0,0.0,375000.0,0.0,0.0,0.0
1 0200.227.07.152.30 2025 (2422),,,"IKERKETA,AZERKETA EA PROIEKTUAK",0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0200.227.07.172.00 2025 (114),,,AZITAINGO LURZORUAREN KALIT.,106600.0,106600.0,0.0,103097.0,3503.0,3503.0,0.0
1 0200.227.90.151.00 2025 (40),,,KANPOKO LANAK,15000.0,13500.0,0.0,13500.0,0.0,0.0,0.0
1 0200.227.90.172.00 2025 (1247),,,KANPOKO LANAK,10456.07,10456.07,0.0,-752.56,11208.63,11208.63,429.55
1 0200.227.99.151.00 2025 (41),,,KONTRATOAK KANPOKOEKIN. ,1500.0,1500.0,0.0,1500.0,0.0,0.0,0.0
1 0200.227.99.172.00 2025 (115),,,KANPOKO BESTELAKO LANAK,113728.0,113728.0,0.0,78356.44,35371.56,35371.56,16526.33
1 0200.230.01.151.00 2025 (42),,,PERTSONAL ,600.0,600.0,0.0,539.52,60.48,60.48,60.48
1 0200.230.01.172.00 2025 (986),,,"PERTSONALAREN DIETAK, GARRAIOA ",35.0,35.0,0.0,35.0,0.0,0.0,0.0
1 0200.480.01.152.20 2025 (44),,,FAMILIEI. KALEKO IGOGAILUEN ,6000.0,6000.0,0.0,6000.0,0.0,0.0,0.0
1 0200.480.01.152.30 2025 (569),,,FAMILIEI,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0200.481.01.172.00 2025 (2073),,,IRABAIZKO XEDERIK GABEKO ,9240.0,9240.0,0.0,9240.0,0.0,0.0,0.0
1 0200.481.21.152.20 2025 (845),,,DIRU-LAG.HERRIKO KOADRILA ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0200.600.01.172.00 2025 (2074),,,INBERTSIOAK LURRETAN,55000.0,55000.0,0.0,55000.0,0.0,0.0,0.0
1 0200.600.04.151.00 2025 (1544),,,LUR ONDARERAKO EROSKETAK,500000.0,500000.0,0.0,76500.0,423500.0,423500.0,423500.0
1 0200.601.16.172.00 2025 (987),,,"BESTE LAN BATZUK, INGURUMENA",13800.0,13800.0,0.0,6237.5,7562.5,7562.5,0.0
1 0200.625.02.151.00 2025 (3171),,,BULEGO EKIPOAK,0.0,1500.0,0.0,593.71,906.29,906.29,906.29
1 0200.643.01.172.00 2025 (2654),,,"IKERKETA,AZTERLANAK ETA ",24500.0,24500.0,0.0,24500.0,0.0,0.0,0.0
