#Partida,b,c,Descripción,Hasierako aurr.,Behin bet aurr.,Atxekipenak (RC),Erabilgarria,Baimendua ,Erabilia ,Onart. Oblig.
1 0400.227.01.153.30 2025 (59),,,GARBIKETA,80314.23,80314.23,0.0,30522.49,49791.74,49791.74,16597.4
1 0400.227.01.163.00 2025 (79),,,GARBIKETA,240545.0,240545.0,0.0,185166.53,55378.47,55378.47,38455.65
1 0400.227.01.164.00 2025 (87),,,GARBIKETA,3000.0,3000.0,0.0,1525.74,1474.26,1474.26,478.76
1 0400.227.01.231.50 2025 (2412),,,GARBIKETA,4000.0,4000.0,0.0,2859.3,1140.7,1140.7,854.5
1 0400.227.01.323.00 2025 (196),,,GARBIKETA,712703.04,712703.04,0.0,71440.14,641262.9,641262.9,202374.22
1 0400.227.01.333.20 2025 (236),,,GARBIKETA,284451.35,284451.35,0.0,28701.26,255750.09,255750.09,74143.56
1 0400.227.01.334.50 2025 (1754),,,GARBIKETA,28000.0,28000.0,0.0,25509.34,2490.66,2490.66,2419.17
1 0400.227.01.337.20 2025 (2687),,,GARBIKETA,40998.67,40998.67,0.0,40998.67,0.0,0.0,0.0
1 0400.227.01.442.00 2025 (366),,,GARBIKETA. MARKESINAK,12834.0,12834.0,0.0,12834.0,0.0,0.0,0.0
1 0400.227.01.920.40 2025 (445),,,GARBIKETA,88429.82,88429.82,0.0,14756.23,73673.59,73673.59,18013.68
1 0400.227.07.920.40 2025 (2885),,,AZTERKETAK ETA LAN TEKNIKOAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0400.227.99.133.20 2025 (27),,,KANPOKO BESTELAKO LANAK,102190.2,102190.2,0.0,30612.4,71577.8,71577.8,23768.0
1 0400.227.99.153.40 2025 (248),,,KANPOKO BESTELAKO LANAK,15000.0,15000.0,0.0,10402.0,4598.0,4598.0,1277.54
1 0400.227.99.171.00 2025 (2072),,,KANPOKO BESTELAKO LANAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0400.227.99.311.70 2025 (187),,,KANP.BEST.LANAK.ARRATOIG/NEURRI ,42680.0,42680.0,0.0,19025.6,23654.4,23654.4,6270.0
1 0400.230.01.153.40 2025 (73),,,PERTSONAL.,600.0,600.0,0.0,600.0,0.0,0.0,0.0
1 0400.230.01.164.00 2025 (88),,,PERTSONAL.,100.0,100.0,0.0,95.94,4.06,4.06,4.06
1 0400.230.01.165.00 2025 (99),,,PERTSONAL.,100.0,100.0,0.0,100.0,0.0,0.0,0.0
1 0400.230.01.171.00 2025 (109),,,PERSONAL.,200.0,200.0,0.0,139.08,60.92,60.92,60.92
1 0400.230.01.323.00 2025 (197),,,PERTSONAL.,120.0,120.0,0.0,120.0,0.0,0.0,0.0
1 0400.230.01.920.40 2025 (446),,,PERTSONAL.,100.0,100.0,0.0,100.0,0.0,0.0,0.0
1 0400.421.01.163.00 2025 (80),,,MANKOMUNITATE,2159307.32,2159307.32,0.0,38086.04,2121221.28,2121221.28,1060610.64
1 0400.422.01.454.00 2025 (368),,,DEBEMEN,54752.34,54752.34,0.0,13118.95,41633.39,41633.39,41633.39
1 0400.601.08.134.00 2025 (3167),,,MAKINARIA.INSTALAZ ETA TRESNERIA.,0.0,45789.61,0.0,0.0,45789.61,45789.61,0.0
1 0400.601.11.171.00 2025 (110),,,ITURRIAK ETA LORATEGIAK HOBETZEA,40000.0,40000.0,0.0,40000.0,0.0,0.0,0.0
1 0400.601.14.342.12 2025 (2652),,,LAN TXIKIAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0400.601.14.920.40 2025 (1002),,,LAN TXIKIAK,155000.0,155000.0,0.0,155000.0,0.0,0.0,0.0
1 0400.601.33.164.00 2025 (428),,,HILERRIAN HOBEKUNTZAREN LANAK,50000.0,50000.0,0.0,38806.05,11193.95,11193.95,0.0
1 0400.623.01.153.40 2025 (75),,,MAKINERIA,30000.0,30000.0,0.0,25173.31,4826.69,4826.69,4348.74
1 0400.623.01.171.00 2025 (111),,,MAKINERIA,25000.0,25000.0,0.0,8231.72,16768.28,16768.28,16768.28
1 0400.623.02.165.00 2025 (100),,,ARGITERIA PUBLIKOKO INSTALAZIO ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0400.623.02.323.00 2025 (3169),,,INSTALAZIOAK,0.0,6000.0,0.0,1362.64,4637.36,4637.36,4637.36
1 0400.623.02.334.50 2025 (2887),,,ERREBALGO INSTALAZIOAK,15000.0,15000.0,0.0,3027.05,11972.95,11972.95,11972.95
1 0400.623.03.153.40 2025 (2682),,,BARNE GARRRAIORAKO ELEMENTUAK,70000.0,70000.0,0.0,70000.0,0.0,0.0,0.0
1 0400.625.01.153.40 2025 (3170),,,ALTZARIAK,0.0,6000.0,0.0,482.55,5517.45,5517.45,0.0
1 0400.625.02.323.00 2025 (3168),,,ALTZARIAK,0.0,1500.0,0.0,249.48,1250.52,1250.52,0.0
1 0400.625.08.334.50 2025 (2310),,,ETXETRESNA ELEKTRIKOA,2000.0,2000.0,0.0,2000.0,0.0,0.0,0.0
1 0400.625.08.920.40 2025 (2314),,,ELEKTRODOMESTIKOAK,1500.0,1500.0,0.0,628.44,871.56,871.56,0.0
1 0400.629.01.165.00 2025 (101),,,ARGIT.PUBL.ENERG.AURREZT.NEURR.,100000.0,100000.0,0.0,100000.0,0.0,0.0,0.0
1 0400.629.03.153.30 2025 (60),,,HIRI-ALTZARITZA,80000.0,80000.0,0.0,80000.0,0.0,0.0,0.0
1 0400.629.03.442.00 2025 (2930),,,HIRI-ALTZARIA,10000.0,10000.0,0.0,10000.0,0.0,0.0,0.0
1 0400.643.01.153.30 2025 (2681),,,"IKERKETA,AZTERLANAK ETA ",10000.0,10000.0,0.0,10000.0,0.0,0.0,0.0
1 0400.643.01.920.40 2025 (2707),,,"IKERKETA,AZTERLANAK ETA ",30000.0,30000.0,0.0,30000.0,0.0,0.0,0.0
1 0400.721.01.163.00 2025 (2424),,,MANKOMUNITATEA,25980.37,25980.37,0.0,25980.37,0.0,0.0,0.0
1 0500.120.01.230.10 2025 (119),,,OINARRIZKO ORDAINKETAK,260262.63,260262.63,0.0,139399.29,120863.34,120863.34,120863.34
1 0500.120.01.231.10 2025 (1051),,,OINARRIZKO ORDAINKETAK,15832.62,15832.62,0.0,5302.55,10530.07,10530.07,10530.07
1 0500.120.01.231.50 2025 (156),,,OINARRIZKO ORDAINKETAK,97024.21,97024.21,0.0,64604.81,32419.4,32419.4,32419.4
1 0500.120.01.231.70 2025 (168),,,OINARRIZKO ORDAINKETAK,14133.76,14133.76,0.0,8303.04,5830.72,5830.72,5830.72
1 0500.120.01.231.80 2025 (175),,,OINARRIZKO ORDAINKETAK,24170.59,24170.59,0.0,8478.33,15692.26,15692.26,15692.26
1 0500.121.99.230.10 2025 (120),,,BESTE OSAGARRI BATZUK,303242.27,303242.27,0.0,107146.49,196095.78,196095.78,196095.78
1 0500.121.99.231.10 2025 (1052),,,BESTE OSAGARRI BATZUK,20423.77,20423.77,0.0,2086.52,18337.25,18337.25,18337.25
1 0500.121.99.231.50 2025 (157),,,BESTE OSAGARRI BATZUK,103072.3,103072.3,0.0,56875.6,46196.7,46196.7,46196.7
1 0500.121.99.231.70 2025 (169),,,BESTE OSAGARRI BATZUK,17141.03,17141.03,0.0,8305.73,8835.3,8835.3,8835.3
1 0500.121.99.231.80 2025 (176),,,BESTE OSAGARRI BATZUK,24715.62,24715.62,0.0,-733.33,25448.95,25448.95,25448.95
1 0500.130.03.231.10 2025 (140),,,ORDAINKETAK PERTSONAL LABORAL ,95350.24,95350.24,0.0,39459.63,55890.61,55890.61,55890.61
1 0500.130.03.231.50 2025 (2685),,,LABORAL FIJOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0500.131.01.231.10 2025 (141),,,LABORAL EBENTUALA,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0500.160.01.230.10 2025 (122),,,GIZARTE SEGURANTZA,155691.72,155691.72,0.0,87020.94,68670.78,68670.78,68670.78
1 0500.160.01.231.10 2025 (142),,,GIZARTE SEGURANTZA,47670.85,47670.85,0.0,33266.38,14404.47,14404.47,14404.47
1 0500.160.01.231.50 2025 (158),,,GIZARTE SEGURANTZA,58626.14,58626.14,0.0,36494.53,22131.61,22131.61,22131.61
1 0500.160.01.231.70 2025 (170),,,GIZARTE SEGURANTZA,7433.82,7433.82,0.0,3919.92,3513.9,3513.9,3513.9
1 0500.160.01.231.80 2025 (177),,,GIZARTE SEGURANTZA,13868.25,13868.25,0.0,2411.01,11457.24,11457.24,11457.24
1 0500.160.04.230.10 2025 (123),,,ELKARKIDETZAREN KUOTAK,18669.43,18669.43,0.0,12847.97,5821.46,5821.46,5821.46
1 0500.160.04.231.10 2025 (143),,,ELKARKIDETZAREN KUOTAK,5446.35,5446.35,0.0,3514.14,1932.21,1932.21,1932.21
1 0500.160.04.231.50 2025 (159),,,ELKARKIDETZAREN KUOTAK,4846.11,4846.11,0.0,3470.32,1375.79,1375.79,1375.79
1 0500.160.04.231.70 2025 (171),,,ELKARKIDETZAREN KUOTAK,807.68,807.68,0.0,400.35,407.33,407.33,407.33
1 0500.160.04.231.80 2025 (2922),,,ELKARKIDETZAREN KUOTAK,1615.37,1615.37,0.0,1615.37,0.0,0.0,0.0
1 0500.201.01.231.40 2025 (150),,,ERAIKINAK ETA BESTELAKO ,25000.0,25000.0,0.0,16288.0,8712.0,8712.0,6716.94
1 0500.201.01.337.10 2025 (310),,,ERAIKINAK ETA BESTELAKO ,3800.0,3800.0,0.0,-15344.28,19144.28,19144.28,8289.78
1 0500.211.01.231.40 2025 (151),,,ERAIKINAK ETA BESTELAKO ,5000.0,5000.0,0.0,4762.05,237.95,237.95,0.0
1 0500.211.01.337.10 2025 (311),,,ERAIKINAK ETA BESTELAKO ,45000.0,45000.0,0.0,22822.29,22177.71,22177.71,7267.19
1 0500.212.01.337.10 2025 (3179),,,"MAKINERIA, INSTALAZIOAK ETA ",0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0500.221.01.231.40 2025 (152),,,ENERGIA ELEKTRIKOA,5000.0,5000.0,0.0,-358.31,5358.31,5358.31,5358.31
1 0500.221.01.337.10 2025 (312),,,ENERGIA ELEKTRIKOA,30000.0,30000.0,0.0,17545.26,12454.74,12454.74,12454.74
1 0500.221.04.231.40 2025 (153),,,ERREGAI ETA KARBURANTEAK,500.0,500.0,0.0,421.26,78.74,78.74,78.74
1 0500.221.04.337.10 2025 (313),,,ERREGAI ETA KARBURANTEAK,20000.0,20000.0,0.0,8000.0,12000.0,12000.0,8515.16
1 0500.221.05.231.10 2025 (144),,,ARROPAK,500.0,500.0,0.0,500.0,0.0,0.0,0.0
1 0500.221.90.231.50 2025 (1739),,,BESTE HAINBAT GASTU.ANDREETXE ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0500.221.99.231.40 2025 (2684),,,BESTELAKO HORNIDURAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0500.221.99.231.50 2025 (160),,,BESTELAKO HORNIDURAK,3000.0,3000.0,0.0,-7109.39,10109.39,10109.39,5032.45
1 0500.226.04.230.10 2025 (37),,,JURIDIKOAK,500.0,500.0,0.0,500.0,0.0,0.0,0.0
1 0500.226.04.337.10 2025 (1760),,,JURIDIKOAK,1500.0,1500.0,0.0,-450.0,1950.0,1950.0,129.99
1 0500.226.54.230.10 2025 (2027),,,"COVID-19 EZOHIKO FUNTSA, NEGUKO ",36300.0,36300.0,0.0,36300.0,0.0,0.0,0.0
1 0500.226.58.230.10 2025 (124),,,BESTE HAINBAT GASTU. ,5060.0,5060.0,0.0,3560.0,1500.0,1500.0,0.0
1 0500.226.64.231.60 2025 (165),,,ESKU-HARTZ.OROK.GIZART.ZAILT.,139757.6,139757.6,0.0,51602.16,88155.44,88155.44,37695.27
1 0500.226.69.230.10 2025 (126),,,USTEGABEKO GASTUAK,10000.0,10000.0,0.0,9802.0,198.0,198.0,198.0
1 0500.226.96.337.10 2025 (1761),,,B.GASTUAK.ADINEKO PERTS.DIAG.ETA ,125000.0,125000.0,9600.0,24273.1,91126.9,91126.9,50324.43
1 0500.226.99.230.11 2025 (1734),,,BESTE HAINBAT GASTU,5000.0,5000.0,0.0,5000.0,0.0,0.0,0.0
1 0500.226.99.230.20 2025 (1737),,,BESTE HAINBAT GASTU,3000.0,3000.0,0.0,3000.0,0.0,0.0,0.0
1 0500.226.99.231.50 2025 (161),,,BESTE HAINBAT GASTU,136000.0,136000.0,0.0,60410.4,75589.6,75589.6,51053.61
1 0500.226.99.231.60 2025 (1219),,,BESTE HAINBAT GASTU,50000.0,50000.0,0.0,48807.94,1192.06,1192.06,539.97
1 0500.226.99.231.70 2025 (172),,,BESTE HAINBAT GASTU,35000.0,35000.0,0.0,9654.15,25345.85,25345.85,9187.85
1 0500.226.99.231.80 2025 (178),,,BESTE HAINBAT GASTU,68600.0,68600.0,0.0,8206.38,60393.62,60393.62,19185.28
1 0500.226.99.337.10 2025 (1762),,,BESTE HAINBAT GASTU LAGUNTZA ,3000.0,3000.0,0.0,0.0,3000.0,3000.0,0.0
1 0500.227.01.231.40 2025 (154),,,GARBIKETA,5000.0,5000.0,0.0,5000.0,0.0,0.0,0.0
1 0500.227.01.231.90 2025 (2079),,,GARBIKETA,1889.45,1889.45,0.0,190.65,1698.8,1698.8,566.28
1 0500.227.04.231.60 2025 (166),,,KONTR.SOZIOKULTUR.INGURUG.,465000.0,465000.0,0.0,89161.84,375838.16,375838.16,172623.2
1 0500.227.07.230.10 2025 (2683),,,AZTERKETA ETA LAN TEKNIKOAK,19000.0,19000.0,0.0,898.4,18101.6,18101.6,0.0
1 0500.227.07.231.50 2025 (572),,,AZTERKETA ETA LAN TEKNIKOAK,10000.0,10000.0,0.0,1530.0,8470.0,8470.0,0.0
1 0500.227.90.231.10 2025 (145),,,KANPOKO LANAK,1322496.0,1322496.0,0.0,668748.0,653748.0,653748.0,280462.05
1 0500.227.90.231.50 2025 (2429),,,KANPOKO LANAK,6000.0,6000.0,0.0,6000.0,0.0,0.0,0.0
1 0500.227.99.230.10 2025 (130),,,KANPOKO BESTELAKO LANAK,515.0,515.0,0.0,515.0,0.0,0.0,0.0
1 0500.227.99.230.11 2025 (2076),,,KANPOKO BESTELAKO LANAK,5000.0,5000.0,0.0,5000.0,0.0,0.0,0.0
1 0500.227.99.230.20 2025 (136),,,KANPOKO BESTELAKO LANAK,6497.7,6497.7,0.0,0.0,6497.7,0.0,0.0
1 0500.227.99.231.50 2025 (162),,,KANPOKO BESTELAKO LANAK,412.0,412.0,0.0,412.0,0.0,0.0,0.0
1 0500.230.01.230.10 2025 (131),,,PERTSONAL.,800.0,800.0,0.0,675.72,124.28,124.28,124.28
1 0500.230.01.231.10 2025 (146),,,PERTSONAL.,100.0,100.0,0.0,51.99,48.01,48.01,48.01
1 0500.230.01.231.50 2025 (163),,,PERTSONAL.,70.0,70.0,0.0,-34.69,104.69,104.69,104.69
1 0500.230.01.231.70 2025 (173),,,PERTSONAL.,35.0,35.0,0.0,35.0,0.0,0.0,0.0
1 0500.230.01.231.80 2025 (179),,,PERTSONAL ,35.0,35.0,0.0,-166.39,201.39,201.39,201.39
1 0500.422.03.230.11 2025 (1736),,,TRANSFERTZ.GIPUZKOAKO BESTE ,15000.0,15000.0,0.0,15000.0,0.0,0.0,0.0
1 0500.431.03.231.90 2025 (2080),,,SAN ANDRES EGOITZA ERAKUNDE ,30000.0,30000.0,0.0,30000.0,0.0,0.0,0.0
1 0500.480.01.230.20 2025 (137),,,FAMILIEI.ELKARTASUN BEKAK,3000.0,3000.0,3000.0,0.0,0.0,0.0,0.0
1 0500.480.02.231.60 2025 (587),,,FAMIL.GIZARTE BARNERATZE ,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0
1 0500.480.03.231.30 2025 (148),,,FAMILIEI.G.L.L.,600000.0,600000.0,0.0,0.0,600000.0,549890.31,329114.4
1 0500.480.04.231.70 2025 (174),,,FAMILIEI. DROGAMENPEKOTASUNA,2500.0,2500.0,0.0,0.0,2500.0,0.0,0.0
1 0500.480.06.230.10 2025 (2425),,,"FAMILIEI,DIRULAGUNTZA BEREZIAK",20000.0,20000.0,0.0,20000.0,0.0,0.0,0.0
1 0500.480.14.231.30 2025 (1820),,,A FAMILIAS. LAGUNTZAK IKASKEEI ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0500.480.16.231.30 2025 (149),,,BALIAB.EKONOM.GUTXIK.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0500.480.19.231.30 2025 (571),,,RGI LAG.DUTEN FAMIL.HAURR.EKINT.,30000.0,30000.0,0.0,30000.0,0.0,0.0,0.0
1 0500.481.01.230.10 2025 (133),,,IRABAZIZKO XEDERIK GABEKO ,42000.0,42000.0,0.0,2000.0,40000.0,0.0,0.0
1 0500.481.01.231.50 2025 (164),,,IRABAZIZKO XEDERIK GABEKO ,12210.0,12210.0,0.0,12210.0,0.0,0.0,0.0
1 0500.481.07.337.10 2025 (314),,,INSTITUZIOEI. NAGUSIEN ETXEAK,95000.0,95000.0,0.0,87600.23,7399.77,7399.77,7399.77
1 0500.481.08.230.20 2025 (138),,,GARAPENERAKO NAZIOARTEKO ,399077.04,399077.04,399077.04,0.0,0.0,0.0,0.0
1 0500.481.14.230.20 2025 (1738),,,ENTITATEI TRANSFERENTZIA.EIBAR-,4400.0,4400.0,4400.0,0.0,0.0,0.0,0.0
1 0500.481.24.230.20 2025 (2077),,,HONDAMENDI NATURALETARAKO ,6000.0,6000.0,0.0,6000.0,0.0,0.0,0.0
1 0500.481.29.230.20 2025 (139),,,ERAKUND.TRANSF.SENTSIBILIZAZIO ,25000.0,25000.0,25000.0,0.0,0.0,0.0,0.0
1 0500.481.30.230.10 2025 (990),,,GURUTZE GORRIARI TRANSFER. ,45000.0,45000.0,45000.0,0.0,0.0,0.0,0.0
1 0500.625.01.230.10 2025 (2937),,,ALTZARIAK,14310.0,14310.0,0.0,14310.0,0.0,0.0,0.0
1 0500.625.01.231.40 2025 (2921),,,ALTZARIAK,8000.0,8000.0,0.0,8000.0,0.0,0.0,0.0
1 0500.625.01.231.50 2025 (2650),,,ALTZARIAK,3000.0,3000.0,0.0,3000.0,0.0,0.0,0.0
1 0500.625.01.337.10 2025 (2437),,,ALTZARIAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0500.625.08.231.40 2025 (2427),,,ELEKTRODOMESTIKOAK,700.0,700.0,0.0,700.0,0.0,0.0,0.0
1 0500.626.01.231.60 2025 (2886),,,INFORMAZIO-PROZESUETARAKO ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0600.226.99.324.10 2025 (199),,,BESTE HAINBAT GASTU,60000.0,60000.0,0.0,-19901.76,79901.76,79901.76,56816.54
1 0600.227.99.324.10 2025 (200),,,KANPOKO BESTELAKO LANAK,641157.52,641157.52,0.0,55373.86,585783.66,585783.66,247087.52
1 0600.481.23.326.20 2025 (202),,,IRABAZIZKO XEDERIK GABEKO ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0700.120.01.326.10 2025 (1531),,,OINARRIZKO ORDAINKETAK,29663.05,29663.05,0.0,21027.99,8635.06,8635.06,8635.06
1 0700.120.01.330.00 2025 (203),,,OINARRIZKO ORDAINKETAK,79768.06,79768.06,0.0,35457.11,44310.95,44310.95,44310.95
1 0700.120.01.332.10 2025 (211),,,OINARRIZKO ORDAINKETAK,100948.92,100948.92,0.0,60413.64,40535.28,40535.28,40535.28
1 0700.120.01.333.30 2025 (237),,,OINARRIZKO ORDAINKETAK,45833.18,45833.18,0.0,29206.91,16626.27,16626.27,16626.27
1 0700.120.01.334.30 2025 (265),,,OINARRIZKO ORDAINKETAK,17192.39,17192.39,0.0,-5889.0,23081.39,23081.39,23081.39
1 0700.120.01.337.20 2025 (2438),,,OINARRIZKO ORDAINKETAK,42078.41,42078.41,0.0,42078.41,0.0,0.0,0.0
1 0700.121.99.326.10 2025 (1532),,,BESTE OSAGARRI BATZUK,5148.06,5148.06,0.0,-8015.41,13163.47,13163.47,13163.47
1 0700.121.99.330.00 2025 (204),,,BESTE OSAGARRI BATZUK,110727.7,110727.7,0.0,24217.12,86510.58,86510.58,86510.58
1 0700.121.99.332.10 2025 (212),,,BESTE OSAGARRI BATZUK,143222.08,143222.08,0.0,65864.82,77357.26,77357.26,77357.26
1 0700.121.99.333.30 2025 (238),,,BESTE OSAGARRI BATZUK,60287.8,60287.8,0.0,31489.12,28798.68,28798.68,28798.68
1 0700.121.99.334.30 2025 (266),,,BESTE OSAGARRI BATZUK,20735.18,20735.18,0.0,-17342.62,38077.8,38077.8,38077.8
1 0700.121.99.337.20 2025 (2439),,,BESTE OSAGARRI BATZUK,6939.25,6939.25,0.0,6939.25,0.0,0.0,0.0
1 0700.130.03.326.10 2025 (1533),,,ORDAINKETAK PERSONAL LABORAL ,175368.51,175368.51,0.0,62419.79,112948.72,112948.72,112948.72
1 0700.130.03.334.30 2025 (267),,,ORDAINKETAK PERTSONAL LABORAL ,41676.11,41676.11,0.0,41676.11,0.0,0.0,0.0
1 0700.131.01.326.10 2025 (1534),,,LABORAL EBENTUALA,268473.78,268473.78,0.0,170126.91,98346.87,98346.87,98346.87
1 0700.131.01.334.30 2025 (268),,,LABORAL EBENTUALA,72664.17,72664.17,0.0,55003.8,17660.37,17660.37,17660.37
1 0700.131.01.334.50 2025 (2091),,,LABORAL EBENTUAL,32801.48,32801.48,0.0,32801.48,0.0,0.0,0.0
1 0700.131.01.920.11 2025 (2033),,,LABORAL EBENTUALA,0.0,0.0,0.0,-22517.22,22517.22,22517.22,22517.22
1 0700.160.01.326.10 2025 (1535),,,GIZARTE SEGURANTZA,171214.35,171214.35,0.0,96772.27,74442.08,74442.08,74442.08
1 0700.160.01.330.00 2025 (205),,,GIZARTE SEGURANTZA,52155.65,52155.65,0.0,19315.37,32840.28,32840.28,32840.28
1 0700.160.01.332.10 2025 (214),,,GIZARTE SEGURANTZA,76854.69,76854.69,0.0,42600.23,34254.46,34254.46,34254.46
1 0700.160.01.333.30 2025 (239),,,GIZARTE SEGURANTZA,33675.26,33675.26,0.0,20297.63,13377.63,13377.63,13377.63
1 0700.160.01.334.30 2025 (269),,,GIZARTE SEGURANTZA,49273.77,49273.77,0.0,25514.87,23758.9,23758.9,23758.9
1 0700.160.01.334.50 2025 (2093),,,GIZARTE SEGURANTZA,11222.69,11222.69,0.0,11222.69,0.0,0.0,0.0
1 0700.160.01.337.20 2025 (2440),,,GIZARTE SEGURANTZA,12735.47,12735.47,0.0,12735.47,0.0,0.0,0.0
1 0700.160.01.920.11 2025 (2031),,,GIZARTE SEGURANTZA,0.0,0.0,0.0,-586.51,586.51,586.51,586.51
1 0700.160.04.326.10 2025 (1536),,,ELKARKIDETZA,32555.93,32555.93,0.0,28936.79,3619.14,3619.14,3619.14
1 0700.160.04.330.00 2025 (206),,,ELKARKIDETZAREN KUOTAK,5189.46,5189.46,0.0,2478.99,2710.47,2710.47,2710.47
1 0700.160.04.332.10 2025 (215),,,ELKARKIDETZAREN KUOTAK,6864.5,6864.5,0.0,5078.52,1785.98,1785.98,1785.98
1 0700.160.04.333.30 2025 (240),,,ELKARKIDETZAREN KUOTAK,2940.83,2940.83,0.0,1613.35,1327.48,1327.48,1327.48
1 0700.160.04.334.30 2025 (270),,,ELKARKIDETZAREN KUOTAK,1107.81,1107.81,0.0,283.56,824.25,824.25,824.25
1 0700.160.04.334.50 2025 (2092),,,ELKARKIDETZA,1107.81,1107.81,0.0,1107.81,0.0,0.0,0.0
1 0700.160.04.337.20 2025 (2441),,,ELKARKIDETZA,1325.46,1325.46,0.0,1325.46,0.0,0.0,0.0
1 0700.160.04.920.11 2025 (2032),,,ELKARKIDETZA,0.0,0.0,0.0,-558.74,558.74,558.74,558.74
1 0700.201.01.337.20 2025 (315),,,ERAIKINAK ETA BESTELAKO ,2000.0,2000.0,0.0,2000.0,0.0,0.0,0.0
1 0700.202.01.334.40 2025 (279),,,"MAKINERIA,INSTALAZIOAK ETA ",1500.0,1500.0,0.0,1129.58,370.42,370.42,370.42
1 0700.202.01.338.00 2025 (2918),,,MAKINARIA.INSTALAZ.TRESNERIA. ,0.0,0.0,0.0,-109762.98,109762.98,109762.98,32348.8
1 0700.212.01.332.10 2025 (216),,,"MAKINERIA, INSTALAZIOAK ETA ",4750.0,4750.0,0.0,104.86,4645.14,4645.14,4645.14
1 0700.212.01.337.20 2025 (316),,,"MAKINERIA,INSTALAZIOAK ETA ",721.0,721.0,0.0,721.0,0.0,0.0,0.0
1 0700.215.02.326.10 2025 (2312),,,INFORMATIKA APLIKAZIOA,4000.0,4000.0,0.0,4000.0,0.0,0.0,0.0
1 0700.215.02.333.10 2025 (227),,,INFORMATIKA APLIKAZIOEN ,10000.0,10000.0,0.0,0.0,10000.0,10000.0,1369.59
1 0700.215.02.334.50 2025 (1755),,,INFORMATIKA APLIKAZIOA ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0700.219.01.333.30 2025 (241),,,BESTELAKO MANTENIMENDUAK,6000.0,6000.0,0.0,5059.25,940.75,940.75,940.75
1 0700.220.01.333.30 2025 (242),,,MATERIAL ARRUNT EZ-,8000.0,8000.0,0.0,4467.5,3532.5,3532.5,2806.49
1 0700.220.02.332.10 2025 (217),,,PRENTS/ALDIZK/LIBURUAK/BEST.,30000.0,30000.0,0.0,-1559.25,31559.25,31559.25,14770.75
1 0700.221.09.333.10 2025 (230),,,GARBIKETA ETA TXUKUNKETA ,2000.0,2000.0,0.0,1257.25,742.75,742.75,742.75
1 0700.221.91.326.10 2025 (1825),,,COVID-19 MATERIALA,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0700.221.91.333.10 2025 (1824),,,COVID-19 MATERIALA,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0700.221.91.334.50 2025 (1826),,,BESTELAKO HORNIDURAK COVID-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0700.221.99.326.10 2025 (1741),,,BESTELAKO HORNIDURAK,6000.0,6000.0,0.0,3149.11,2850.89,2850.89,2587.88
1 0700.221.99.332.10 2025 (218),,,BESTELAKO HORNIDURAK,7200.0,7200.0,0.0,1258.38,5941.62,5941.62,1665.5
1 0700.221.99.333.10 2025 (231),,,BESTELAKO HORNIDURAK,5000.0,5000.0,0.0,4384.33,615.67,615.67,615.67
1 0700.221.99.334.30 2025 (271),,,BESTELAKO HORNIDURAK,11000.0,11000.0,0.0,7665.52,3334.48,3334.48,3265.97
1 0700.221.99.334.50 2025 (1757),,,BESTELAKO HORNIDURAK,5000.0,5000.0,0.0,5000.0,0.0,0.0,0.0
1 0700.221.99.338.00 2025 (324),,,BESTELAKO HORNIDURAK,108000.0,108000.0,713.9,87666.14,19619.96,19619.96,8026.48
1 0700.224.99.326.10 2025 (1742),,,BESTELAKO ARRISKUAK,4000.0,4000.0,0.0,4000.0,0.0,0.0,0.0
1 0700.224.99.334.30 2025 (272),,,BESTELAKO ARRISKUAK,3090.0,3090.0,0.0,3090.0,0.0,0.0,0.0
1 0700.226.01.326.10 2025 (1743),,,KANONAK,810.0,810.0,0.0,810.0,0.0,0.0,0.0
1 0700.226.01.332.10 2025 (1748),,,KANONAK,450.0,450.0,0.0,450.0,0.0,0.0,0.0
1 0700.226.01.334.10 2025 (249),,,KANONAK,4000.0,4000.0,0.0,500.0,3500.0,3500.0,1478.48
1 0700.226.01.334.21 2025 (256),,,KANONAK,6500.0,6500.0,0.0,2580.0,3920.0,3920.0,162.14
1 0700.226.01.334.22 2025 (261),,,KANONAK,8000.0,8000.0,0.0,-1608.82,9608.82,9608.82,7273.84
