#Partida,b,c,Descripción,Behin bet aurr,Onar esk garbiak
2 112.01 2025 (1),,,LANDA ONDASUNAK,6901.4,6894.03
2 112.02 2025 (2),,,HIRI-ONDASUNAK,5654654.51,5763314.74
2 113.01 2025 (3),,,TRAKZIO MEKANIK.IBILGAILUEN GAIN.,1552600.72,1547954.99
2 114.01 2025 (4),,,HIRI-LURREN BALIO GEHIKUNTZ. GAIN.,350000.0,271202.05
2 130.01 2025 (5),,,ENPRESA JARDUERA,789428.21,231503.16
2 282.01 2025 (6),,,"ERAIKUNT., INSTAL.ETA OBREN GAIN.",850000.0,252990.45
2 310.03 2025 (9),,,UDAL HILERRIAK,29151.67,21744.25
2 310.04 2025 (10),,,AGIRIAK EGITEA,4614.38,7696.56
2 310.05 2025 (11),,,IBILGAIL.BIDE PUBLIK.JASO ETA ,60916.66,39108.54
2 310.10 2025 (1017),,,KIROLETAKO IRAKASKUNTZEN TASAK,1191638.83,930391.18
2 310.11 2025 (112),,,IRAKASK.BEREZ.UDALERRIEN ,127000.0,73526.2
2 310.12 2025 (392),,,LAGUNT.ETA EGONALD.ETXEBIZITZA ,0.0,0.0
2 310.15 2025 (969),,,F.A.MENDEKOTASUN PRESTAZIO ,1891.92,0.0
2 310.16 2025 (316),,,MUSEOAREN SARRERA TASAK,4000.0,5088.0
2 310.21 2025 (1019),,,ASTELENAFRONTOIAREN ALOKAIRUA,7500.0,0.0
2 310.80 2025 (615),,,ETXEZ-ETXEKO LAGUNTZA,180000.0,99699.6
2 310.82 2025 (616),,,EUSKALTEGIKO MATRIKULAK,30000.0,22667.95
2 310.90 2025 (581),,,ATESTATUAK,4000.0,2074.5
2 310.91 2025 (679),,,ENERGIA-HORNIDURA,1700.0,0.0
2 321.02 2025 (15),,,BIDE PUBLIKOKO KIOSKOAK,1600.0,855.84
2 321.04 2025 (16),,,"MAHAIAK, AULKIAK, TRIBUNAK, ",90000.0,82756.12
2 321.05 2025 (17),,,"POSTUAK, BARRAKAK,ETA ",41316.0,26296.69
2 321.06 2025 (773),,,"PORTADAK, ERAKUSLEIHOAK ETA ",6310.0,6203.48
2 321.09 2025 (18),,,"LURRA , LURPEA ETA HEGALKINAK ",540000.0,179707.4
2 321.91 2025 (772),,,KUTXAZAIN AUTOMATIKOAK,2151.0,2177.34
2 321.99 2025 (19),,,B.ESK.BATZ.HERRI JABARIA ,42700.0,31803.12
2 322.01 2025 (20),,,APARKAMENDUA GORDE,36900.0,37679.76
2 340.01 2025 (21),,,UDAL LOKALEN ERABILERA,500.0,0.0
2 340.02 2025 (315),,,IKUSKIZUNETARAKO SARREREN ,49455.0,27555.0
2 340.03 2025 (445),,,DIRU-SARRERAK IKASTAROENGATIK,50000.0,1534.0
2 340.04 2025 (588),,,BILDUT. DIRUAR.ARABER.KONTRAT. ,703.0,2100.0
2 340.05 2025 (589),,,BILDUT.DIRUAR.ARAB.KONTRAT. ,1360.0,0.0
2 340.06 2025 (617),,,BILD. DIRUA.ARAB. ANTZERKI ,59000.0,67513.0
2 340.07 2025 (934),,,ZINEMA SARRERAK COLISEO ,61000.0,27510.0
2 341.01 2025 (87),,,ARGI INDARRAREN EKOIZPENA,32000.0,8002.08
2 380.01 2025 (22),,,ITXITAKO AURREKONTUETAKOAK,40000.0,10122.67
2 391.01 2025 (23),,,ISUNAK,260000.0,244197.5
2 392.01 2025 (24),,,"PREMIAMENDI. ERREKARGUAK, ",63000.0,36326.78
2 393.01 2025 (25),,,BERANDUTZA INTERESAK,16000.0,10852.43
2 396.01 2025 (26),,,TELEKOMUNIKAZIOET.OPERADOREAK,100000.0,18973.12
2 396.05 2025 (562),,,ORDEZKO BETEARAZPENA,50000.0,3990.02
2 399.01 2025 (33),,,BESTE HAINBAT SARRERA,85000.0,380850.12
2 399.02 2025 (34),,,PORTALEAKO DIRU-SARRERAK,593.0,317.0
2 399.04 2025 (73),,,LIBURU SALMENTAREN DIRU-,2000.0,121.2
2 399.08 2025 (264),,,DIRU SARRERAK GLLK ITZULZEAGATIK,13000.0,9589.15
2 399.99 2025 (320),,,ALDEKO DIFERENTZIAK KUTXAN,100.0,0.0
2 400.01 2025 (37),,,ITUNDU GABEKO ZERGETAKO ,60000.0,16580.22
2 400.02 2025 (861),,,GENERO INDARK.AURKA ESTATUKO ,0.0,0.0
2 400.03 2025 (1026),,,"LURREKO, HIRIKO ETA URBA ARTEKO ",0.0,0.0
2 400.04 2025 (774),,,ESTAT. TRANSF. MARIA MOLINER ,2800.0,0.0
2 400.10 2025 (1062),,,TOKIKO ERAGILEAK KONTRATATZEKO ,0.0,0.0
2 410.02 2025 (811),,,E.J. KALEKO ANTZERKIRAKO ,23000.0,23229.75
2 410.04 2025 (252),,,DROGAMENPEKOTASUNERAKO ,48243.0,13557.6
2 410.05 2025 (1060),,,E.J.IRRISGARRITASUN-,0.0,0.0
2 410.06 2025 (43),,,E.J. OINARRIZKOP LANBIDE HEZIKET.,651157.52,358662.24
2 410.07 2025 (813),,,EMAKUNDE,24000.0,0.0
2 410.09 2025 (523),,,E.J. K.I.U.B. DIRULAGUNTZA,23700.0,7719.89
2 410.12 2025 (62),,,E.J. HAUR ETA GAZT.ART.IRAK..LIBUR.,2725.0,0.0
2 410.13 2025 (127),,,E.J. LIBURUTEGI-FOND.HORNITZ.ETA ,13600.0,0.0
2 410.14 2025 (681),,,E.J. MUSEORAKO DIRULAGUNTZA,12000.0,13018.37
2 410.16 2025 (130),,,E.J. DIRU-LAG.EUSKERA BIZ.PLAN ,8000.0,0.0
2 410.17 2025 (45),,,E. J.  GIZARTE LARR.LAGUNTZAK (G.L.,567807.69,0.0
2 410.18 2025 (817),,,DIRU-LAGUNTZA LIBURUTEGIKO EKI,6499.0,0.0
2 410.20 2025 (939),,,SUBV.IHOBE CAMBIO CLIMATICO Y ,2000.0,0.0
2 410.22 2025 (159),,,E.J. ETORKINEN INGURURAKO UDAL ,64504.0,16572.24
2 410.25 2025 (770),,,LANBIDE. ENPLEGU PLANA: BERTAKO ,0.0,0.0
2 410.27 2025 (676),,,LANBIDE. ENPLEGU PLANAK. ,269900.0,0.0
2 410.29 2025 (1022),,,E.J. KIROL DIRU LAGUNTZAK,0.0,0.0
2 410.34 2025 (938),,,E.J. ZINEMARAKO LAGUNTZAK,14000.0,6091.33
2 410.35 2025 (632),,,E.J. KULTURA PROGRAMAT.,26000.0,0.0
2 410.38 2025 (739),,,E.J. JARDUERA FISIKOA SUSTATZ.,6000.0,0.0
2 410.40 2025 (895),,,E.J.MUSIKA ESKOLA DIRULAGUNTZA,100000.0,0.0
2 410.41 2025 (1023),,,E.J. GARAPEN JASANGARRIRAKO DIRU-,36000.0,0.0
2 411.02 2025 (633),,,H.A.B.E.,256000.0,282231.95
2 412.02 2025 (518),,,EVE,10000.0,5755.0
2 412.03 2025 (587),,,IVAP,10000.0,0.0
2 412.04 2025 (1092),,,E.J. EUSKAL FEERROBIARIA SAREAREN ,0.0,0.0
2 420.01 2025 (46),,,UDAL FINANTZAKETARAKO FORU ,24412701.0,11398292.79
2 420.02 2025 (75),,,F.A. ETXEZ ETXEKO LAGUNTZA,275730.0,37770.63
2 420.03 2025 (193),,,FORU ALDUNDIA. GAZTERIA SAILAREN ,9000.0,0.0
2 420.04 2025 (194),,,F.A. EUSKARA BIZIBERRITZEKO PLAN ,14000.0,5976.0
2 420.05 2025 (321),,,"F,A. DIRU LAGUNTZAK ",13000.0,0.0
2 420.07 2025 (218),,,F.A. MUSEORAKO DIRU-LAGUNTZA,4000.0,0.0
2 420.09 2025 (393),,,"F.A. ANTZERKIA, MUSIKA",15063.0,6235.96
2 420.10 2025 (940),,,F.A.IRAUNKORTASUNA ETA INGUR.,0.0,0.0
2 420.12 2025 (928),,,F.A.JATORRI.ANIZTASUNAREN ,10000.0,0.0
2 420.14 2025 (522),,,FORU ALDUNDIA. DOKUMENTU ,0.0,0.0
2 420.15 2025 (988),,,F.A.MUGI SISTEMA DIRU LAGUNTZA,29000.0,0.0
2 420.16 2025 (1094),,,BASOAK ZAINDU ETA HOBETZEKO ,0.0,0.0
2 420.18 2025 (1064),,,F.A.AIRE ZABALEKO ESPAZIO ,0.0,0.0
2 420.19 2025 (1030),,,F.A.GIZARTE BAZTERKETAKO ,15000.0,0.0
2 420.22 2025 (1057),,,F.A.MUBIKORTASUNA.,0.0,0.0
2 420.23 2025 (943),,,F.A.HIRI-HONDAKINAK KUDEATZEKO ,0.0,0.0
2 420.25 2025 (1056),,,F.A.BERDINTASUN-JARDUERAK ,0.0,0.0
2 420.27 2025 (579),,,FORU ALD.HERRITAR.PARTAIDETZ.,0.0,0.0
2 420.28 2025 (771),,,F.A. TOKIKO AGENDA 21AK ,0.0,0.0
2 420.30 2025 (634),,,F.A. ANTZERKI IHARDUNAKDIAK. ,40000.0,20000.0
2 420.31 2025 (695),,,FORU A. OROIMEN HISTORIK.,0.0,0.0
2 420.32 2025 (696),,,FORU ALD.ANIZTASUNEAN ,4084.0,3817.0
2 420.33 2025 (698),,,FORU A.TOKIKO ENERG.AURRESP.ETA ,0.0,0.0
2 420.36 2025 (862),,,F.A BIGAR. ESKUKO MUGIKORT.,0.0,0.0
2 420.39 2025 (1058),,,F.A.BAZTERKETA PISUAN ,15870.0,0.0
2 420.40 2025 (1063),,,F.A.GABONETAKO ARGIAK BABESTEA,0.0,0.0
2 420.99 2025 (1018),,,F.A.KIROL DIRU LAGUNTZAK,2513.0,0.0
2 422.02 2025 (970),,,GIPUZKOAKO BESTE UDALERRI ,100000.0,0.0
2 471.01 2025 (51),,,BEST.ENPRES.ANTZERKI IHARDUNALD.,0.0,0.0
2 471.02 2025 (986),,,BESTE EMPRE.S.JUAN PROGRAMA,2550.0,2580.0
2 490.03 2025 (1025),,,ADMINISTRAZIOAREN ,0.0,0.0
2 540.01 2025 (52),,,HIRI-FINKEN ERRENTAMEND.EMAITZA,116570.58,61876.03
2 549.01 2025 (500),,,KIROLDEGIKO GARAJEAK,35000.0,-80.37
2 550.01 2025 (971),,,ERREBALEKO KANOKAK,15000.0,0.0
2 560.01 2025 (53),,,GORDAILULEN INTERESAK,50000.0,87015.04
2 600.01 2025 (935),,,LURRENA BESTERENGANATZETIK ,0.0,0.0
2 612.02 2025 (803),,,BESTERENG.BESTEL.ERAIKIN ETA ,750000.0,0.0
2 614.01 2025 (735),,,GARRAIO ELEMENTUENA,0.0,0.0
2 651.01 2025 (249),,,HIRIGINTZAKO APROBETXAMENDUAK,30000.0,0.0
2 700.02 2025 (989),,,BABES ZIBILEKO LARRIALDIA,0.0,0.0
2 700.05 2025 (1061),,,E.J IRISGARRITASUNERAKO PLAN ,0.0,0.0
2 710.01 2025 (1095),,,HAUR ESKOLA BIRGAITZEA,0.0,0.0
2 710.02 2025 (198),,,E.J. DIRU-LAG.ESKOLET.OBRETARAKO,32000.0,8229.75
2 710.03 2025 (936),,,EUSKO JAURLARITZA ,0.0,0.0
2 710.04 2025 (699),,,EUSKO JAURLARITZA. HIRIGUNE,0.0,0.0
2 710.06 2025 (812),,,E.J. TXONT ERAIKIN.BERRIZT. LANAK ,0.0,0.0
2 710.08 2025 (565),,,E.J. HAINB. INTERTSIO EGITEKO DIRUL.,1449369.69,0.0
2 710.09 2025 (1028),,,NEXT GENERETION.E.J.GABILON ,3984100.1,479037.53
2 710.12 2025 (1029),,,NEXT GENERETION.EJ.TORREKUA ,0.0,0.0
2 710.13 2025 (470),,,E.J.LIBURUTEG.TEKNOL.BERRIAK ,10000.0,0.0
2 710.16 2025 (1027),,,NEXT GENERETION.E.J.TXONTA ,0.0,0.0
2 712.02 2025 (741),,,E.E.E.,0.0,0.0
2 720.01 2025 (769),,,GIPUKOAKO FORU DIPUTAZIOARENA,0.0,0.0
2 720.04 2025 (737),,,F.ALDUNDIA. LANDA BIDEENTZAKO ,2500.0,35000.0
2 720.05 2025 (1059),,,F.A.GIZARTE BAZTERKETAKO PISUA,15870.0,0.0
2 833.01 2025 (57),,,PERTSONALAREN AURRERAKINAK,14000.0,20208.43
2 860.01 2025 (58),,,FIDANTZAK ITZULTZEA EPE ,100.0,0.0
2 860.02 2025 (118),,,EPE LUZERA FIDANTZAK IZULTZEA,100.0,0.0
2 870.01 2025 (638),,,ALTXORTEGI GERAKINA. GASTU ,11825622.56,0.0
2 870.02 2025 (72),,,DIRUZ.GERAKINA GASU ,0.0,0.0
2 933.01 2025 (59),,,TOKIKO SEKTORE PUBLIKOTIK ,9602446.11,0.0
