#Partida,,,,Has.ko aurrek.,B. betiko aurrek.,Atxikipenak,Baimendua,Erabilgarria,Xedatua,Obligazioa,ME,Ordainketa
1 0100.120.01.130.00 2021,,3.0,OINARRIZKO ORDAINKETAK,149885.46,149885.46,0.0,140778.81,9106.65,140778.81,140778.81,140778.81,140778.81
1 0100.120.01.132.00 2021,,13.0,OINARRIZKO ORDAINKETAK,322523.35,322523.35,0.0,262743.77,59779.58,262743.77,262743.77,262743.77,262743.77
1 0100.120.01.133.10 2021,,19.0,OINARRIZKO ORDAINKETAK,232405.52,232405.52,0.0,165206.18,67199.34,165206.18,165206.18,165206.18,165206.18
1 0100.121.99.130.00 2021,,4.0,BESTE OSAGARRI BATZUK,282954.76,282954.76,0.0,307011.09,-24056.33,307011.09,307011.09,307011.09,307011.09
1 0100.121.99.132.00 2021,,14.0,BESTE OSAGARRI BATZUK,628380.75,628380.75,0.0,652772.68,-24391.93,652772.68,652772.68,652772.68,652772.68
1 0100.121.99.133.10 2021,,20.0,BESTE OSAGARRI BATZUK,421322.55,421322.55,0.0,396407.99,24914.56,396407.99,396407.99,396407.99,396407.99
1 0100.160.01.130.00 2021,,5.0,GIZARTE SEGURANTZA,146159.02,146159.02,0.0,139158.2,7000.82,139158.2,139158.2,139158.2,139158.2
1 0100.160.01.132.00 2021,,15.0,GIZARTE SEGURANTZA,350231.88,297757.29,0.0,278273.93,19483.36,278273.93,278273.93,278273.93,278273.93
1 0100.160.01.133.10 2021,,21.0,GIZARTE SEGURANTZA,247745.55,195270.96,0.0,179586.51,15684.45,179586.51,179586.51,179586.51,179586.51
1 0100.160.04.130.00 2021,,6.0,ELKARKIDETZAREN KUOTAK,11437.4,11437.4,0.0,9248.76,2188.64,9248.76,9248.76,9248.76,9248.76
1 0100.160.04.132.00 2021,,16.0,ELKARKIDETZAREN KUOTAK,16546.07,16546.07,0.0,15071.75,1474.32,15071.75,15071.75,15071.75,15071.75
1 0100.160.04.133.10 2021,,22.0,ELKARKIDETZAREN KUOTAK,9927.64,9927.64,0.0,9812.74,114.9,9812.74,9812.74,9812.74,9812.74
1 0100.212.01.132.00 2021,,17.0,MAKINERIA/INSTALAZ/TRESNERIA,5000.0,23500.0,0.0,20458.7,3041.3,20458.7,19964.39,19964.39,19952.29
1 0100.213.01.130.00 2021,,7.0,GARRAIO-MATERIALA,10000.0,10000.0,0.0,13491.47,-3491.47,13491.47,8780.44,8780.44,7133.43
