#Partida,,,,B. betiko aurrek.
2 112.01 2021,,1.0,LANDA ONDASUNAK,6100.0
2 112.02 2021,,2.0,HIRI-ONDASUNAK,5200000.0
2 113.01 2021,,3.0,TRAKZIO MEKANIK.IBILGAILUEN GAIN.ZERGA,1575000.0
2 114.01 2021,,4.0,HIRI-LURREN BALIO GEHIKUNTZ. GAIN.ZERGA,500000.0
2 130.01 2021,,5.0,ENPRESA JARDUERA,775000.0
2 282.01 2021,,6.0,"ERAIKUNT., INSTAL.ETA OBREN GAIN.ZERGA",250000.0
2 310.03 2021,,9.0,UDAL HILERRIAK,50000.0
2 310.04 2021,,10.0,AGIRIAK EGITEA,15000.0
2 310.05 2021,,11.0,IBILGAIL.BIDE PUBLIK.JASO ETA KENTZEA,50000.0
2 310.11 2021,,112.0,IRAKASK.BEREZ.UDALERRIEN IKATETXEETAN,125000.0
2 310.12 2021,,392.0,LAGUNT.ETA EGONALD.ETXEBIZITZA ETA EGOIT,2000.0
2 310.16 2021,,316.0,MUSEOAREN SARRERA TASAK,3000.0
2 310.80 2021,,615.0,ETXEZ-ETXEKO LAGUNTZA,100000.0
2 310.81 2021,,586.0,TUTELAPEKO ETXEBIZITZEN TASAK,0.0
2 310.82 2021,,616.0,EUSKALTEGIKO MATRIKULAK,40000.0
2 310.90 2021,,581.0,ATESTATUAK,5000.0
2 310.91 2021,,679.0,ENERGIA-HORNIDURA,100.0
2 321.02 2021,,15.0,BIDE PUBLIKOKO KIOSKOAK,1750.0
2 321.04 2021,,16.0,"MAHAIAK, AULKIAK, TRIBUNAK, OHOLTZAK",37000.0
2 321.05 2021,,17.0,"POSTUAK, BARRAKAK,ETA AZTEAZKIEN.AZOKA",55000.0
2 321.06 2021,,773.0,"PORTADAK, ERAKUSLEIHOAK ETA BITRINAK",100.0
2 321.09 2021,,18.0,"LURRA , LURPEA ETA HEGALKINAK ERABILTZEA",250000.0
2 321.91 2021,,772.0,KUTXAZAIN AUTOMATIKOAK,1000.0
2 321.99 2021,,19.0,B.ESK.BATZ.HERRI JABARIA ERABILTZEAG.,30000.0
2 322.01 2021,,20.0,APARKAMENDUA GORDE,35000.0
2 340.01 2021,,21.0,UDAL LOKALEN ERABILERA,40000.0
2 340.02 2021,,315.0,IKUSKIZUNETARAKO SARREREN PREZIOAK,30000.0
2 340.03 2021,,445.0,DIRU-SARRERAK IKASTAROENGATIK,1500.0
2 340.04 2021,,588.0,BILDUT. DIRUAR.ARABER.KONTRAT. MUSIKA,8000.0
2 340.05 2021,,589.0,BILDUT.DIRUAR.ARAB.KONTRAT. ANTZERKIA,10000.0
2 340.06 2021,,617.0,BILD. DIRUA.ARAB. ANTZERKI IHARDUNALD.,25000.0
2 340.07 2021,,934.0,ZINEMA SARRERAK COLISEO ANTZOKIAN,0.0
2 341.01 2021,,87.0,ARGI INDARRAREN EKOIZPENA,55000.0
2 380.01 2021,,22.0,ITXITAKO AURREKONTUETAKOAK,20000.0
2 380.02 2021,,814.0,REINTEGRO BENIFICIARIOS SUBV J.A.MOGEL,0.0
2 391.01 2021,,23.0,ISUNAK,150000.0
2 392.01 2021,,24.0,"PREMIAMENDI. ERREKARGUAK, KOSTUAK",50000.0
2 393.01 2021,,25.0,BERANDUTZA INTERESAK,3000.0
2 396.01 2021,,26.0,TELEKOMUNIKAZIOET.OPERADOREAK,115000.0
2 396.04 2021,,29.0,PARTIKULARREN KONTURA EGINDAKO LANAK,0.0
2 396.05 2021,,562.0,ORDEZKO BETEARAZPENA,150000.0
2 399.01 2021,,33.0,BESTE HAINBAT SARRERA,35000.0
2 399.02 2021,,34.0,PORTALEAKO DIRU-SARRERAK,1000.0
2 399.04 2021,,73.0,LIBURU SALMENTAREN DIRU-SARRERAK,1000.0
2 399.08 2021,,264.0,DIRU SARRERAK GLLK ITZULZEAGATIK,3000.0
2 399.99 2021,,320.0,ALDEKO DIFERENTZIAK KUTXAN,6.0
2 400.01 2021,,37.0,ITUNDU GABEKO ZERGETAKO PARTAIDETZA,35000.0
2 400.02 2021,,861.0,GENERO INDARK.AURKA ESTATUKO ITUNA,5624.06
2 400.04 2021,,774.0,ESTAT. TRANSF. MARIA MOLINER DIRULAG.,0.0
2 400.09 2021,,843.0,"Enplegu,formakuntza eta Hezkuntzarako pr",0.0
2 410.01 2021,,901.0,E.J.OROIMEN HISTORIKOA.A.TELLERIA,0.0
2 410.02 2021,,811.0,E.J. KALEKO ANTZERKIRAKO DIRULAGUNTZA,0.0
2 410.04 2021,,252.0,DROGAMENPEKOTASUNERAKO LANGIL.ETA PROGR.,48825.0
2 410.06 2021,,43.0,E.J. OINARRIZKOP LANBIDE HEZIKET.UDAL IK,250000.0
2 410.07 2021,,813.0,EMAKUNDE,14000.0
2 410.07 2020,,931.0,EMAKUMEAREN EUSKAL ERAKUNDEA,0.0
2 410.09 2021,,523.0,E.J. K.I.U.B. DIRULAGUNTZA,15000.0
2 410.10 2021,,163.0,E.J. ERREF.LANGIL.GIZART.PROGR.DIRUL.,0.0
2 410.12 2021,,62.0,E.J. HAUR ETA GAZT.ART.IRAK..LIBUR.ZERB.,2725.0
2 410.13 2021,,127.0,E.J. LIBURUTEGI-FOND.HORNITZ.ETA BERRIZ,8933.0
2 410.14 2021,,681.0,E.J. MUSEORAKO DIRULAGUNTZA,12000.0
2 410.15 2021,,775.0,E.J. MURRATEGIKO BIRGAITZE PLAN BEREZIA,0.0
2 410.16 2021,,130.0,E.J. DIRU-LAG.EUSKERA BIZ.PLAN NAGUS.,20000.0
2 410.17 2021,,45.0,E. J.  GIZARTE LARR.LAGUNTZAK (G.L.L.),391239.0
2 410.18 2021,,817.0,DIRU-LAGUNTZA LIBURUTEGIKO EKI,6499.0
2 410.19 2021,,930.0,DIRU-LAGUNTZA GEHIGARRIA COVID GARBIKETA,0.0
2 410.22 2021,,159.0,E.J. ETORKINEN INGURURAKO UDAL PLANA.,32887.71
2 410.23 2021,,582.0,E.J. IHOBE. UDALSAREA 21,0.0
2 410.24 2021,,318.0,EUSKO JAURLARITZA. GAZTERIA,0.0
2 410.25 2021,,770.0,LANBIDE. ENPLEGU PLANA: BERTAKO PLANA,121900.0
2 410.26 2021,,465.0,LANBIDE. ENPLEGU PLANA: ESJUALDEKO PLANA,0.0
2 410.27 2021,,676.0,LANBIDE. ENPLEGU PLANAK. ENPRESAK,100000.0
2 410.28 2021,,815.0,LANBIDE : GAZTE ENPLEGU PLANA,0.0
2 410.35 2021,,632.0,E.J. KULTURA PROGRAMAT.DIRULAGUNTZA,26000.0
2 410.36 2021,,863.0,ETXEKO ETA  MERKATARITZARAKO HONDAKINEN,0.0
2 410.37 2021,,738.0,"E.J. BAKE, BIZIKIDETZA, ESK DIRULAGUNTZA",0.0
2 410.38 2021,,739.0,E.J. JARDUERA FISIKOA SUSTATZ.PROG.DIRUL,0.0
2 410.39 2021,,806.0,E.J. AZITAIN IND. LURPEKO UREN KALITAT.K,0.0
2 410.40 2021,,895.0,E.J.MUSIKA ESKOLA DIRULAGUNTZA,70000.0
2 410.41 2020,,932.0,E.J. GARAPEN JASANGARRIA.DIRU LAGUNTZ,0.0
2 411.02 2021,,633.0,H.A.B.E.,274074.09
2 412.02 2021,,518.0,EVE,15000.0
2 412.03 2021,,587.0,IVAP,10000.0
2 420.01 2021,,46.0,UDAL FINANTZAKETARAKO FORU FONDOA,18551270.0
2 420.01 2020,,933.0,UDAL FINANTZAKETARAKO FORU FUNTSA,0.0
2 420.02 2021,,75.0,F.A. ETXEZ ETXEKO LAGUNTZA,342352.18
2 420.03 2021,,193.0,FORU ALDUNDIA. GAZTERIA SAILAREN DIRULAG,9000.0
2 420.04 2021,,194.0,F.A. EUSKARA BIZIBERRITZEKO PLAN NAGUSIA,4000.0
2 420.05 2021,,321.0,"F,A. DIRU LAGUNTZAK BERDINTASUNERAKO",39771.5
2 420.06 2021,,640.0,FORU ALDUNDIA. EMPLEGUA BULTZATZEKO PROG,0.0
2 420.07 2021,,218.0,F.A. MUSEORAKO DIRU-LAGUNTZA,4000.0
2 420.08 2021,,900.0,F.A.TELEFONOZ BIDEZKO JARRAIPENA.COVID-,0.0
2 420.09 2021,,393.0,"F.A. ANTZERKIA, MUSIKA",15053.0
2 420.12 2021,,928.0,F.A.JATORRI.ANIZTASUNAREN EZAGUTZEA,10065.02
2 420.14 2021,,522.0,FORU ALDUNDIA. DOKUMENTU BERRIZTU,0.0
2 420.16 2021,,743.0,F.A.BASOAK ZAINDU ETA HOBETZEKO DIRULAG.,0.0
2 420.17 2021,,700.0,"F.A. FRENTE GUERRA,SECTOR EIBAR IKUSENTZ",0.0
2 420.27 2021,,579.0,FORU ALD.HERRITAR.PARTAIDETZ.SUSTATZ.PR.,0.0
2 420.28 2021,,771.0,F.A. TOKIKO AGENDA 21AK GARATZEKO DIRUL.,0.0
2 420.29 2021,,583.0,FORU ALD.GIPUZKO@IKT:UDALAK DIRULAG.,0.0
2 420.30 2021,,634.0,F.A. ANTZERKI IHARDUNAKDIAK. DIRULAG.,35000.0
2 420.31 2021,,695.0,FORU A. OROIMEN HISTORIK.ALORREAN DIRULA,0.0
2 420.32 2021,,696.0,FORU ALD.ANIZTASUNEAN BIZIKIDETZA,6000.0
2 420.33 2021,,698.0,FORU A.TOKIKO ENERG.AURRESP.ETA ERAGINK.,0.0
2 420.34 2021,,736.0,FORU ALDUNDIA. KULTURA BONUA,0.0
