#Partida,,,,Has.ko aurrek.,B. betiko aurrek.,Atxikipenak,Baimendua,Erabilgarria,Xedatua,Obligazioa,ME,Ordainketa
1 0100.120.01.130.00 2020,,3.0,OINARRIZKO ORDAINKETAK,146003.01,146003.01,0.0,70938.58,75064.43,70938.58,70938.58,70938.58,70938.58
1 0100.120.01.132.00 2020,,13.0,OINARRIZKO ORDAINKETAK,332907.87,332907.87,0.0,306713.03,26194.84,306713.03,306713.03,306713.03,306713.03
1 0100.120.01.133.10 2020,,19.0,OINARRIZKO ORDAINKETAK,244340.68,244340.68,0.0,218212.15,26128.53,218212.15,218212.15,218212.15,218212.15
1 0100.121.99.130.00 2020,,4.0,BESTE OSAGARRI BATZUK,284575.14,184575.14,0.0,180099.83,4475.31,180099.83,180099.83,180099.83,180099.83
1 0100.121.99.132.00 2020,,14.0,BESTE OSAGARRI BATZUK,650550.35,650550.35,0.0,707481.74,-56931.39,707481.74,707481.74,707481.74,707481.74
1 0100.121.99.133.10 2020,,20.0,BESTE OSAGARRI BATZUK,443031.24,443031.24,0.0,478654.3,-35623.06,478654.3,478654.3,478654.3,478654.3
1 0100.160.01.130.00 2020,,5.0,GIZARTE SEGURANTZA,148106.51,98106.51,0.0,71085.06,27021.45,71085.06,71085.06,71085.06,71085.06
1 0100.160.01.132.00 2020,,15.0,GIZARTE SEGURANTZA,355785.61,355785.61,0.0,336255.45,19530.16,336255.45,336255.45,336255.45,336255.45
1 0100.160.01.133.10 2020,,21.0,GIZARTE SEGURANTZA,251674.13,251674.13,0.0,227700.67,23973.46,227700.67,227700.67,227700.67,227700.67
1 0100.160.04.130.00 2020,,6.0,ELKARKIDETZAREN KUOTAK,11310.02,11310.02,0.0,5943.87,5366.15,5943.87,5943.87,5943.87,5943.87
1 0100.160.04.132.00 2020,,16.0,ELKARKIDETZAREN KUOTAK,14773.81,14773.81,0.0,16044.17,-1270.36,16044.17,16044.17,16044.17,16044.17
1 0100.160.04.133.10 2020,,22.0,ELKARKIDETZAREN KUOTAK,9054.92,9054.92,0.0,9944.41,-889.49,9944.41,9944.41,9944.41,9944.41
1 0100.212.01.132.00 2020,,17.0,MAKINERIA/INSTALAZ/TRESNERIA,5000.0,3000.0,0.0,901.45,2098.55,901.45,901.45,901.45,901.45
1 0100.213.01.130.00 2020,,7.0,GARRAIO-MATERIALA,10000.0,19000.0,0.0,16180.83,2819.17,16180.83,16180.83,16180.83,16180.83
1 0100.213.01.130.00 2019,,1549.0,GARRAIO-MATERIALA,0.0,524.31,0.0,199.99,324.32,199.99,199.99,199.99,199.99
1 0100.213.02.132.00 2020,,1542.0,IBILGAILUEN RENTING,35000.0,10000.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0
1 0100.221.04.130.00 2020,,8.0,ERREGAI ETA KARBURANTEAK,6000.0,16000.0,0.0,7460.14,8539.86,7460.14,7460.14,7460.14,7460.14
1 0100.221.04.130.00 2019,,1550.0,ERREGAI ETA KARBURANTEAK,0.0,689.89,0.0,0.0,689.89,0.0,0.0,0.0,0.0
1 0100.221.05.130.00 2020,,9.0,ARROPAK,35000.0,35000.0,0.0,32802.3,2197.7,32802.3,32802.3,32802.3,32802.3
