#Partida,,,,Has.ko aurrek.,B. betiko aurrek.,Atxikipenak,Baimendua,Erabilgarria,Xedatua,Obligazioa,ME,Ordainketa
1 0100.120.01.130.00 2020,,3.0,OINARRIZKO ORDAINKETAK,146003.01,146003.01,0.0,57418.04,88584.97,57418.04,57418.04,57418.04,57418.04
1 0100.120.01.132.00 2020,,13.0,OINARRIZKO ORDAINKETAK,332907.87,332907.87,0.0,246314.24,86593.63,246314.24,246314.24,246314.24,246314.24
1 0100.120.01.133.10 2020,,19.0,OINARRIZKO ORDAINKETAK,244340.68,244340.68,0.0,174829.94,69510.74,174829.94,174829.94,174829.94,174829.94
1 0100.121.99.130.00 2020,,4.0,BESTE OSAGARRI BATZUK,284575.14,284575.14,0.0,151186.37,133388.77,151186.37,151186.37,151186.37,151186.37
1 0100.121.99.132.00 2020,,14.0,BESTE OSAGARRI BATZUK,650550.35,650550.35,0.0,584272.14,66278.21,584272.14,584272.14,584272.14,584272.14
1 0100.121.99.133.10 2020,,20.0,BESTE OSAGARRI BATZUK,443031.24,443031.24,0.0,393547.53,49483.71,393547.53,393547.53,393547.53,393547.53
1 0100.160.01.130.00 2020,,5.0,GIZARTE SEGURANTZA,148106.51,148106.51,0.0,59715.87,88390.64,59715.87,59715.87,59715.87,59715.87
1 0100.160.01.132.00 2020,,15.0,GIZARTE SEGURANTZA,355785.61,355785.61,0.0,280815.3,74970.31,280815.3,280815.3,280815.3,280815.3
1 0100.160.01.133.10 2020,,21.0,GIZARTE SEGURANTZA,251674.13,251674.13,0.0,189114.89,62559.24,189114.89,189114.89,189114.89,189114.89
1 0100.160.04.130.00 2020,,6.0,ELKARKIDETZAREN KUOTAK,11310.02,11310.02,0.0,4671.15,6638.87,4671.15,4671.15,4671.15,4671.15
1 0100.160.04.132.00 2020,,16.0,ELKARKIDETZAREN KUOTAK,14773.81,14773.81,0.0,12540.62,2233.19,12540.62,12540.62,12540.62,12540.62
1 0100.160.04.133.10 2020,,22.0,ELKARKIDETZAREN KUOTAK,9054.92,9054.92,0.0,7842.58,1212.34,7842.58,7842.58,7842.58,7842.58
1 0100.212.01.132.00 2020,,17.0,MAKINERIA/INSTALAZ/TRESNERIA,5000.0,3000.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0
1 0100.213.01.130.00 2020,,7.0,GARRAIO-MATERIALA,10000.0,10000.0,0.0,11145.54,-1145.54,11145.54,6982.11,6465.37,6465.37
1 0100.213.01.130.00 2019,,1549.0,GARRAIO-MATERIALA,0.0,524.31,0.0,199.99,324.32,199.99,199.99,199.99,199.99
1 0100.213.02.132.00 2020,,1542.0,IBILGAILUEN RENTING,35000.0,10000.0,2860.88,0.0,7139.12,0.0,0.0,0.0,0.0
1 0100.221.04.130.00 2020,,8.0,ERREGAI ETA KARBURANTEAK,6000.0,6000.0,0.0,7445.84,-1445.84,7445.84,7445.84,7445.84,7445.84
1 0100.221.04.130.00 2019,,1550.0,ERREGAI ETA KARBURANTEAK,0.0,689.89,0.0,689.89,0.0,689.89,0.0,0.0,0.0
1 0100.221.05.130.00 2020,,9.0,ARROPAK,35000.0,35000.0,0.0,30000.0,5000.0,30000.0,0.0,0.0,0.0
1 0100.221.99.130.00 2020,,10.0,BESTELAKO HORNIDURAK,8760.0,7760.0,0.0,5541.3,2218.7,5541.3,5508.85,5247.61,5187.97
1 0100.224.02.130.00 2020,,11.0,IBILGAILUENAK. ASEGURUAK,3000.0,3000.0,0.0,2500.0,500.0,2500.0,0.0,0.0,0.0
1 0100.226.99.132.00 2020,,586.0,BESTE HAINBAT GASTU,1000.0,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0
1 0100.227.01.441.10 2020,,1778.0,AZTERKETA ETA LAN TEKNIKOAK,0.0,8349.0,0.0,8349.0,0.0,8349.0,8349.0,8349.0,8349.0
1 0100.227.08.441.10 2020,,363.0,GARRAIO-KONTRATUAK,275000.0,217150.0,0.0,208150.0,9000.0,208150.0,160813.73,160813.73,160813.73
1 0100.227.99.133.10 2020,,24.0,KANPOKO BESTELAKO LANAK. GARABIA,100000.0,100000.0,0.0,100000.0,0.0,100000.0,62279.86,62279.86,62279.86
1 0100.230.01.130.00 2020,,12.0,PERTSONAL.DIETAK/GARRAIOA/LEKUALDAKETA,235.0,235.0,0.0,719.2,-484.2,719.2,719.2,719.2,719.2
1 0100.230.01.132.00 2020,,18.0,PERTSONAL.DIETAK/GARRAIOA/LEKUALDAKETA,235.0,235.0,0.0,174.8,60.2,174.8,174.8,174.8,174.8
1 0100.230.01.133.10 2020,,25.0,PERTSONAL.DIETAK/GARRAIOA/LEKUALDAKETA,235.0,235.0,0.0,105.77,129.23,105.77,105.77,105.77,105.77
1 0100.421.03.441.10 2020,,364.0,GIPUZK.GARRAIOAREN LURRALD.AGINTARITZA,18000.0,18000.0,0.0,6483.0,11517.0,6483.0,6483.0,6483.0,4862.25
1 0100.624.01.132.00 2020,,1283.0,GARRAIO MATERIALA,0.0,25000.0,0.0,0.0,25000.0,0.0,0.0,0.0,0.0
1 0100.625.01.130.00 2020,,1282.0,ALTZARIAK,1000.0,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0
1 0100.626.01.130.00 2020,,43.0,EKIPOAK. TETRA KOMUNIKAZIO BIDEA,1000.0,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0
1 0200.120.01.151.00 2020,,32.0,OINARRIZKO ORDAINKETAK,147347.79,147347.79,0.0,101542.03,45805.76,101542.03,101542.03,101542.03,101542.03
1 0200.120.01.172.00 2020,,782.0,OINARRIZKO ORDAINKETAK,16516.21,16516.21,0.0,14891.52,1624.69,14891.52,14891.52,14891.52,14891.52
1 0200.121.99.151.00 2020,,33.0,BESTE OSAGARRI BATZUK,259030.13,259030.13,0.0,223739.51,35290.62,223739.51,223739.51,223739.51,223739.51
