#Partida,,,,Has.ko aurrek.,B. betiko aurrek.,Atxikipenak,Baimendua,Erabilgarria,Xedatua,Obligazioa,ME,Ordainketa
1 0100.120.01.130.00 2019,,3.0,OINARRIZKO ORDAINKETAK,140281.65,140281.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0100.120.01.132.00 2019,,13.0,OINARRIZKO ORDAINKETAK,296601.83,296601.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0100.120.01.133.10 2019,,19.0,OINARRIZKO ORDAINKETAK,222718.07,222718.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0100.121.99.130.00 2019,,4.0,BESTE OSAGARRI BATZUK,286249.68,286249.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0100.121.99.132.00 2019,,14.0,BESTE OSAGARRI BATZUK,567828.45,567828.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0100.121.99.133.10 2019,,20.0,BESTE OSAGARRI BATZUK,404504.82,404504.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0100.160.01.130.00 2019,,5.0,GIZARTE SEGURANTZA,105256.88,105256.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0100.160.01.132.00 2019,,15.0,GIZARTE SEGURANTZA,257951.98,257951.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0100.160.01.133.10 2019,,21.0,GIZARTE SEGURANTZA,203244.02,203244.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0100.160.04.130.00 2019,,6.0,ELKARKIDETZAREN KUOTAK,11621.4,11621.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0100.160.04.132.00 2019,,16.0,ELKARKIDETZAREN KUOTAK,17016.18,17016.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0100.160.04.133.10 2019,,22.0,ELKARKIDETZAREN KUOTAK,15970.26,15970.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0100.212.01.132.00 2019,,17.0,MAKINERIA/INSTALAZ/TRESNERIA,5000.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0100.213.01.130.00 2019,,7.0,GARRAIO-MATERIALA,13000.0,13000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0100.213.01.130.00 2018,,1302.0,GARRAIO-MATERIALA,0.0,1462.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0100.221.04.130.00 2019,,8.0,ERREGAI ETA KARBURANTEAK,10395.0,10395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0100.221.05.130.00 2019,,9.0,ARROPAK,30000.0,30000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0100.221.05.130.00 2018,,1303.0,ARROPAK,0.0,21650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0100.221.99.130.00 2019,,10.0,BESTELAKO HORNIDURAK,8760.0,8760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0100.221.99.130.00 2018,,1304.0,BESTELAKO HORNIDURAK,0.0,1194.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0100.224.02.130.00 2019,,11.0,IBILGAILUENAK. ASEGURUAK,3000.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0100.226.99.132.00 2019,,586.0,BESTE HAINBAT GASTU,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0100.227.08.441.10 2019,,363.0,GARRAIO-KONTRATUAK,200000.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0100.227.08.441.10 2018,,1305.0,GARRAIO-KONTRATUAK,0.0,45183.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0100.227.99.133.10 2019,,24.0,KANPOKO BESTELAKO LANAK. GARABIA,125000.0,125000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
