#Partida,,,,Has.ko aurrek.,B. betiko aurrek.,Atxikipenak,Baimendua,Erabilgarria,Xedatua,Obligazioa,ME,Ordainketa
1 0100.120.01.130.00 2019,,3.0,OINARRIZKO ORDAINKETAK,140281.65,140281.65,0.0,202774.42,-62492.77,202774.42,202774.42,202774.42,202774.42
1 0100.120.01.132.00 2019,,13.0,OINARRIZKO ORDAINKETAK,296601.83,296601.83,0.0,236085.21,60516.62,236085.21,236085.21,236085.21,236085.21
1 0100.120.01.133.10 2019,,19.0,OINARRIZKO ORDAINKETAK,222718.07,222718.07,0.0,115240.27,107477.8,115240.27,115240.27,115240.27,115240.27
1 0100.121.99.130.00 2019,,4.0,BESTE OSAGARRI BATZUK,286249.68,286249.68,0.0,491556.71,-205307.03,491556.71,491556.71,491556.71,491556.71
1 0100.121.99.132.00 2019,,14.0,BESTE OSAGARRI BATZUK,567828.45,567828.45,0.0,555433.61,12394.84,555433.61,555433.61,555433.61,555433.61
1 0100.121.99.133.10 2019,,20.0,BESTE OSAGARRI BATZUK,404504.82,404504.82,0.0,258559.78,145945.04,258559.78,258559.78,258559.78,258559.78
1 0100.160.01.130.00 2019,,5.0,GIZARTE SEGURANTZA,105256.88,105256.88,0.0,223306.89,-118050.01,223306.89,223306.89,223306.89,223306.89
1 0100.160.01.132.00 2019,,15.0,GIZARTE SEGURANTZA,257951.98,257951.98,0.0,280335.0,-22383.02,280335.0,280335.0,280335.0,280335.0
1 0100.160.01.133.10 2019,,21.0,GIZARTE SEGURANTZA,203244.02,203244.02,0.0,134115.44,69128.58,134115.44,134115.44,134115.44,134115.44
1 0100.160.04.130.00 2019,,6.0,ELKARKIDETZAREN KUOTAK,11621.4,11621.4,0.0,10489.76,1131.64,10489.76,10489.76,10489.76,10489.76
1 0100.160.04.132.00 2019,,16.0,ELKARKIDETZAREN KUOTAK,17016.18,17016.18,0.0,13974.7,3041.48,13974.7,13974.7,13974.7,13974.7
1 0100.160.04.133.10 2019,,22.0,ELKARKIDETZAREN KUOTAK,15970.26,15970.26,0.0,8522.72,7447.54,8522.72,8522.72,8522.72,8522.72
