#Partida,,,,Has.ko aurrek.,B. betiko aurrek.,Atxikipenak,Baimendua,Erabilgarria,Xedatua,Obligazioa,ME,Ordainketa
1 0100.120.01.130.00 2018,,3.0,OINARRIZKO ORDAINKETAK,135220.69,135220.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0100.120.01.132.00 2018,,13.0,OINARRIZKO ORDAINKETAK,280034.72,280034.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0100.120.01.133.10 2018,,19.0,OINARRIZKO ORDAINKETAK,200782.38,200782.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0100.121.99.130.00 2018,,4.0,BESTE OSAGARRI BATZUK,262394.12,262394.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0100.121.99.132.00 2018,,14.0,BESTE OSAGARRI BATZUK,553000.47,553000.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0100.121.99.133.10 2018,,20.0,BESTE OSAGARRI BATZUK,372648.89,372648.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0100.160.01.130.00 2018,,5.0,GIZARTE SEGURANTZA,104060.83,104060.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0100.160.01.132.00 2018,,15.0,GIZARTE SEGURANTZA,241352.81,241352.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0100.160.01.133.10 2018,,21.0,GIZARTE SEGURANTZA,174533.93,174533.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0100.160.04.130.00 2018,,6.0,ELKARKIDETZAREN KUOTAK,11621.4,11621.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0100.160.04.132.00 2018,,16.0,ELKARKIDETZAREN KUOTAK,17373.99,17373.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0100.160.04.133.10 2018,,22.0,ELKARKIDETZAREN KUOTAK,15747.0,15747.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0100.212.01.132.00 2018,,17.0,MAKINERIA/INSTALAZ/TRESNERIA,5000.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0100.212.01.132.00 2017,,1053.0,MAKINERIA/INSTALAZ/TRESNERIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0100.213.01.130.00 2018,,7.0,GARRAIO-MATERIALA,13000.0,13000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
