#Partida,,,,Has.ko aurrek.,B. betiko aurrek.,Atxikipenak,Baimendua,Erabilgarria,Xedatua,Obligazioa,ME,Ordainketa
1 0100.120.01.130.00 2018,,3.0,OINARRIZKO ORDAINKETAK,135220.69,135220.69,0.0,27895.46,107325.23,27895.46,27895.46,27895.46,27895.46
1 0100.120.01.132.00 2018,,13.0,OINARRIZKO ORDAINKETAK,280034.72,280034.72,0.0,59011.98,221022.74,59011.98,59011.98,59011.98,59011.98
1 0100.120.01.133.10 2018,,19.0,OINARRIZKO ORDAINKETAK,200782.38,200782.38,0.0,34408.92,166373.46,34408.92,34408.92,34408.92,34408.92
1 0100.121.99.130.00 2018,,4.0,BESTE OSAGARRI BATZUK,262394.12,262394.12,0.0,68853.65,193540.47,68853.65,68853.65,68853.65,68853.65
1 0100.121.99.132.00 2018,,14.0,BESTE OSAGARRI BATZUK,553000.47,553000.47,0.0,146387.26,406613.21,146387.26,146387.26,146387.26,146387.26
1 0100.121.99.133.10 2018,,20.0,BESTE OSAGARRI BATZUK,372648.89,372648.89,0.0,81799.29,290849.6,81799.29,81799.29,81799.29,81799.29
1 0100.160.01.130.00 2018,,5.0,GIZARTE SEGURANTZA,104060.83,104060.83,0.0,28131.7,75929.13,28131.7,28131.7,28131.7,28131.7
1 0100.160.01.132.00 2018,,15.0,GIZARTE SEGURANTZA,241352.81,241352.81,0.0,63577.7,177775.11,63577.7,63577.7,63577.7,63577.7
1 0100.160.01.133.10 2018,,21.0,GIZARTE SEGURANTZA,174533.93,174533.93,0.0,35346.53,139187.4,35346.53,35346.53,35346.53,35346.53
1 0100.160.04.130.00 2018,,6.0,ELKARKIDETZAREN KUOTAK,11621.4,11621.4,0.0,1743.21,9878.19,1743.21,1743.21,1743.21,1743.21
1 0100.160.04.132.00 2018,,16.0,ELKARKIDETZAREN KUOTAK,17373.99,17373.99,0.0,3818.77,13555.22,3818.77,3818.77,3818.77,3818.77
1 0100.160.04.133.10 2018,,22.0,ELKARKIDETZAREN KUOTAK,15747.0,15747.0,0.0,2573.0,13174.0,2573.0,2573.0,2573.0,2573.0
1 0100.212.01.132.00 2018,,17.0,MAKINERIA/INSTALAZ/TRESNERIA,5000.0,5000.0,0.0,2288.76,2711.24,2288.76,30.25,30.25,0.0
1 0100.212.01.132.00 2017,,1053.0,MAKINERIA/INSTALAZ/TRESNERIA,0.0,0.0,0.0,136.29,-136.29,136.29,0.0,0.0,0.0
1 0100.213.01.130.00 2018,,7.0,GARRAIO-MATERIALA,13000.0,13000.0,0.0,5322.97,7677.03,5322.97,664.84,438.84,438.84
1 0100.213.01.130.00 2017,,1054.0,GARRAIO-MATERIALA,0.0,0.0,0.0,4969.24,-4969.24,4969.24,200.0,200.0,200.0
1 0100.221.04.130.00 2018,,8.0,ERREGAI ETA KARBURANTEAK,10395.0,10395.0,0.0,3716.25,6678.75,3716.25,1242.6,1242.6,1242.6
1 0100.221.05.130.00 2018,,9.0,ARROPAK,30000.0,30000.0,0.0,965.36,29034.64,965.36,0.0,0.0,0.0
1 0100.221.99.130.00 2018,,10.0,BESTELAKO HORNIDURAK,8760.0,8760.0,0.0,751.39,8008.61,751.39,117.65,117.65,112.55
1 0100.221.99.130.00 2017,,1055.0,BESTELAKO HORNIDURAK,0.0,0.0,0.0,1301.91,-1301.91,1301.91,429.55,429.55,429.55
1 0100.224.02.130.00 2018,,11.0,IBILGAILUENAK. ASEGURUAK,2500.0,2500.0,0.0,1525.0,975.0,1525.0,1525.0,1525.0,1525.0
1 0100.226.99.132.00 2018,,586.0,BESTE HAINBAT GASTU,1000.0,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0
1 0100.227.08.441.10 2018,,363.0,GARRAIO-KONTRATUAK,199262.0,199262.0,0.0,199262.0,0.0,199262.0,2783.42,2783.42,2783.42
1 0100.227.99.133.10 2018,,24.0,KANPOKO BESTELAKO LANAK. GARABIA,100000.0,100000.0,0.0,100000.0,0.0,100000.0,23219.95,23219.95,23219.95
