#Partida,b,c,Descripción,Pto definitivo,Dchos rec. netos
2 410.41 2025 (1023),,,G.V. DESARROLLO SOSTENIBLE,36000.0,0.0
2 411.02 2025 (633),,,H.A.B.E.,256000.0,282231.95
2 412.02 2025 (518),,,EVE- ENTE VASCO DE LA ENERGIA,10000.0,5755.0
2 412.03 2025 (587),,,IVAP. SUBV.FORMACION PERSONAL,10000.0,0.0
2 412.04 2025 (1092),,,G.V.SUBV.RED FERROVIARIA VASCA,0.0,0.0
2 420.01 2025 (46),,,FONDO FORAL DE FINANCIACION ,24412701.0,11398292.79
2 420.02 2025 (75),,,D.F. ASISTENCIA A DOMICILIO,275730.0,37770.63
2 420.03 2025 (193),,,DIPUTACION.DEPARTAMENTO DE ,9000.0,0.0
2 420.04 2025 (194),,,D.F. PLAN GRAL.PROMOC. USO ,14000.0,5976.0
2 420.05 2025 (321),,,D.F. SUBV. ACTIVIDADES IGUALDAD,13000.0,0.0
2 420.07 2025 (218),,,D.F. SUBVENCION MUSEO,4000.0,0.0
2 420.09 2025 (393),,,"D.F. TEATRO, MUSICA",15063.0,6235.96
2 420.10 2025 (940),,,"D.F.SOSTENIB,  MEJORA ",0.0,0.0
2 420.12 2025 (928),,,D.F.SUBV.ENRIQUECIMIENTO ,10000.0,0.0
2 420.14 2025 (522),,,DIPUTACION. RESTAURACION ,0.0,0.0
2 420.15 2025 (988),,,D.F.SUBVENCION MUGI,29000.0,0.0
2 420.16 2025 (1094),,,F.A.DIPT. SUBV.MANTTO Y MEJORA ,0.0,0.0
2 420.18 2025 (1064),,,D.F SUBV.ESPECT. ESCEN/MUSICALES ,0.0,0.0
2 420.19 2025 (1030),,,"D,F.SUBV.VIVIENDA TUTELADA ",15000.0,0.0
2 420.22 2025 (1057),,,D.F.PLAN GENERAL DE MOVILIDAD ,0.0,0.0
2 420.23 2025 (943),,,D.F.SUBV.GESTION RESIDUOS ,0.0,0.0
2 420.25 2025 (1056),,,D.F.SUBVENCION ACTIVIDADES ,0.0,0.0
2 420.27 2025 (579),,,DIPUT.SUBV.FOMENTO PYTOS.PARTIC.,0.0,0.0
2 420.28 2025 (771),,,DIPT. SUBV.DESARR.AGENDAS 21 ,0.0,0.0
2 420.30 2025 (634),,,D.F. SUBV. PARA JORNADAS DE ,40000.0,20000.0
2 420.31 2025 (695),,,DIPUT. SUBV.MEMORIA HISTORICA ,0.0,0.0
2 420.32 2025 (696),,,DIPUT.PYTOS.CONVIVENCIA EN LA ,4084.0,3817.0
2 420.33 2025 (698),,,DIPUT.SUBV.AHORRO Y EFIC.,0.0,0.0
2 420.36 2025 (862),,,DIPUT.SUB.OBJ. USADOS MOVILIDAD ,0.0,0.0
2 420.39 2025 (1058),,,D.F.SUBV.INVERSION PISO EXCLUSION,15870.0,0.0
2 420.40 2025 (1063),,,D.F PATROCINIO LUCES DE NAVIDAD,0.0,0.0
2 420.99 2025 (1018),,,D.F.SUBVENCIONES DEPORTES,2513.0,0.0
2 422.02 2025 (970),,,DE OTROS MUNICIPIOS DE GIPUZKOA,100000.0,0.0
2 471.01 2025 (51),,,DE OTRAS EMPRESAS. JORNADAS DE ,0.0,0.0
2 471.02 2025 (986),,,OTRAS EMPRESAS .PROGRAMA S.JUAN,2550.0,2580.0
2 490.03 2025 (1025),,,SUB.TRANSFORMACION DIGITAL Y ,0.0,0.0
2 540.01 2025 (52),,,PRODUCTO ARRENDAMIENTO FINCAS ,116570.58,61876.03
2 549.01 2025 (500),,,GARAJES POLIDEPORTIVO,35000.0,-80.37
2 550.01 2025 (971),,,CANONES DE ERREBAL,15000.0,0.0
2 560.01 2025 (53),,,INTERESES DE DEPOSITOS,50000.0,87015.04
2 600.01 2025 (935),,,ENEJANACION DE TERRENOS SOLARES,0.0,0.0
2 612.02 2025 (803),,,ENAJENAC. DE OTROS EDIFICIOS Y ,750000.0,0.0
2 614.01 2025 (735),,,ENAJENACION ELEMENTOS ,0.0,0.0
