#Partida,b,c,Descripción,Pto inicial,Pto definitivo,Retenciones,Autorizado,Disponible,Dispuesto,Oblig. recon.
1 0200.160.01.172.00 2025 (784),,,SEGURIDAD SOCIAL,13868.25,13868.25,0.0,6077.08,7791.17,6077.08,6077.08
1 0200.160.04.151.00 2025 (36),,,CUOTAS ELKARKIDETZA,11308.87,11308.87,0.0,5512.81,5796.06,5512.81,5512.81
1 0200.160.04.172.00 2025 (983),,,CUOTAS ELKARKIDETZA,1615.37,1615.37,0.0,814.73,800.64,814.73,814.73
1 0200.201.01.152.20 2025 (1545),,,EDIFICIOS Y OTRAS CONSTRUCCIONES,6000.0,6000.0,0.0,5821.32,178.68,5821.32,2831.4
1 0200.220.01.152.20 2025 (1546),,,ORDINARIO NO INVENTARIABLE,500.0,500.0,0.0,0.0,500.0,0.0,0.0
1 0200.221.01.152.20 2025 (1547),,,ENERGIA ELECTRICA. LOCAL TXONTA,1000.0,1000.0,0.0,0.0,1000.0,0.0,0.0
1 0200.224.01.152.20 2025 (1235),,,SEGUROS,1500.0,1500.0,0.0,0.0,1500.0,0.0,0.0
1 0200.226.99.151.00 2025 (38),,,OTROS GASTOS DIVERSOS. EJECUC.,5000.0,5000.0,0.0,0.0,5000.0,0.0,0.0
1 0200.226.99.172.00 2025 (113),,,OTROS GASTOS DIVERSOS,60000.0,60000.0,0.0,20528.8,39471.2,20528.8,11886.4
1 0200.227.05.172.00 2025 (2075),,,TERRENOS/B.NATURALES CONVENIO ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0200.227.07.151.00 2025 (39),,,ESTUDIOS Y TRABAJOS TECNICOS,375000.0,375000.0,0.0,0.0,375000.0,0.0,0.0
1 0200.227.07.152.30 2025 (2422),,,INVESTIGACIONESM ESTUDOS Y ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0200.227.07.172.00 2025 (114),,,ESTUD/TRAB.TECNIC.CONTR.CALID.,106600.0,106600.0,0.0,3503.0,103097.0,3503.0,0.0
1 0200.227.90.151.00 2025 (40),,,TRABAJOS EXTERNOS. ESTUDIOS Y ,15000.0,13500.0,0.0,0.0,13500.0,0.0,0.0
1 0200.227.90.172.00 2025 (1247),,,TRABAJOS EXTERIORES,10456.07,10456.07,0.0,11208.63,-752.56,11208.63,429.55
1 0200.227.99.151.00 2025 (41),,,CONTRATOS EXTERNOS. MEDICIONES,1500.0,1500.0,0.0,0.0,1500.0,0.0,0.0
1 0200.227.99.172.00 2025 (115),,,OTROS TRABAJOS EXTERIORES,113728.0,113728.0,0.0,35371.56,78356.44,35371.56,16526.33
1 0200.230.01.151.00 2025 (42),,,DIETAS/LOCOMOC/TRASLADO ,600.0,600.0,0.0,60.48,539.52,60.48,60.48
1 0200.230.01.172.00 2025 (986),,,"DIETAS, LOCOMOC. Y TRASLADO ",35.0,35.0,0.0,0.0,35.0,0.0,0.0
1 0200.480.01.152.20 2025 (44),,,A FAMILIAS. MANTTO.ASCENSORES ,6000.0,6000.0,0.0,0.0,6000.0,0.0,0.0
1 0200.480.01.152.30 2025 (569),,,A FAMILIAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0200.481.01.172.00 2025 (2073),,,A INSITUCIONES SIN FINES DE LUCRO,9240.0,9240.0,0.0,0.0,9240.0,0.0,0.0
1 0200.481.21.152.20 2025 (845),,,AYUDAS ASOCIAC.CUADRILLAS ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0200.600.01.172.00 2025 (2074),,,INVERSIONES EN TERRENOS,55000.0,55000.0,0.0,0.0,55000.0,0.0,0.0
1 0200.600.04.151.00 2025 (1544),,,ADQUISICIONES DESTINADAS ,500000.0,500000.0,0.0,423500.0,76500.0,423500.0,423500.0
1 0200.601.16.172.00 2025 (987),,,OBRAS VARIAS. MEDIO AMBIENTE,13800.0,13800.0,0.0,7562.5,6237.5,7562.5,0.0
1 0200.625.02.151.00 2025 (3171),,,EQUIPOS DE OFICINA,0.0,1500.0,0.0,906.29,593.71,906.29,906.29
1 0200.643.01.172.00 2025 (2654),,,"INVESTIGACION, ESTUDIOS Y ",24500.0,24500.0,0.0,0.0,24500.0,0.0,0.0
1 0200.771.05.152.20 2025 (1818),,,AYUDAS A LA DEMOLICION DE RUINAS ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0200.780.02.152.20 2025 (45),,,A FAMILIAS. REHAB.,150000.0,150000.0,0.0,0.0,150000.0,0.0,0.0
1 0300.120.01.153.20 2025 (46),,,RETRIBUCIONES BASICAS,180958.87,180958.87,0.0,72637.8,108321.07,72637.8,72637.8
1 0300.121.99.153.20 2025 (47),,,COMPLEMENTOS VARIOS,249604.12,249604.12,0.0,131037.79,118566.33,131037.79,131037.79
1 0300.160.01.153.20 2025 (48),,,SEGURIDAD SOCIAL,124893.04,124893.04,0.0,28638.17,96254.87,28638.17,28638.17
1 0300.160.04.153.20 2025 (49),,,CUOTAS ELKARKIDETZA,9455.88,9455.88,0.0,3513.93,5941.95,3513.93,3513.93
1 0300.211.01.153.20 2025 (2315),,,EDIFICIOS Y OTRAS CONSTRUCCIONES,37000.0,22000.0,0.0,0.0,22000.0,0.0,0.0
1 0300.226.01.153.20 2025 (3173),,,CANONES,0.0,0.0,0.0,3970.29,-3970.29,3970.29,3970.29
1 0300.230.01.153.20 2025 (50),,,DIETAS/LOCOMOC/TRASLADO ,400.0,400.0,0.0,64.52,335.48,64.52,64.52
1 0300.601.05.153.20 2025 (3182),,,REHABILITACION ESCUELA INFANTIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0300.601.06.153.20 2025 (2649),,,G.V. REHABIL.TORREKUA H.JUBILADO,853000.0,853000.0,0.0,527361.99,325638.01,527361.99,356305.52
1 0300.601.08.153.20 2025 (52),,,MEJORA ENTORNOS URBANOS-,3809240.91,3809240.91,506954.47,634342.66,2667943.78,634342.66,453.75
1 0300.601.10.153.20 2025 (2920),,,REHABILITACION HERMANOS ,4300000.0,4300000.0,0.0,0.0,4300000.0,0.0,0.0
