#Partida,b,c,Descripción,Behin bet aurr,Onar esk garbiak
2 410.35 2024 (632),,,E.J. KULTURA PROGRAMAT.,26000.0,0.0
2 410.38 2024 (739),,,E.J. JARDUERA FISIKOA SUSTATZ.,7638.82,5858.0
2 410.40 2024 (895),,,E.J.MUSIKA ESKOLA DIRULAGUNTZA,100000.0,167895.18
2 410.41 2024 (1023),,,E.J. GARAPEN JASANGARRIRAKO DIRU-,16092.0,99458.58
2 411.02 2024 (633),,,H.A.B.E.,268478.13,314739.7
2 412.02 2024 (518),,,EVE,10000.0,0.0
2 412.03 2024 (587),,,IVAP,10000.0,8358.32
2 412.04 2024 (1065),,,EUSKAL TRENBIDE SAREA ,0.0,186506.14
2 420.01 2024 (46),,,UDAL FINANTZAKETARAKO FORU ,24066806.0,24066805.84
2 420.02 2024 (75),,,F.A. ETXEZ ETXEKO LAGUNTZA,134441.92,294486.99
2 420.03 2024 (193),,,FORU ALDUNDIA. GAZTERIA SAILAREN ,9000.0,0.0
2 420.04 2024 (194),,,F.A. EUSKARA BIZIBERRITZEKO PLAN ,3407.59,8963.0
2 420.05 2024 (321),,,"F,A. DIRU LAGUNTZAK ",27421.0,13710.5
2 420.07 2024 (218),,,F.A. MUSEORAKO DIRU-LAGUNTZA,4000.0,0.0
2 420.09 2024 (393),,,"F.A. ANTZERKIA, MUSIKA",15053.0,9575.5
2 420.10 2024 (940),,,F.A.IRAUNKORTASUNA ETA INGUR.,0.0,98541.3
2 420.12 2024 (928),,,F.A.JATORRI.ANIZTASUNAREN ,10329.0,0.0
2 420.14 2024 (522),,,FORU ALDUNDIA. DOKUMENTU ,0.0,4272.51
2 420.15 2024 (988),,,F.A.MUGI SISTEMA DIRU LAGUNTZA,8910.0,76310.0
2 420.18 2024 (1064),,,F.A.AIRE ZABALEKO ESPAZIO ,0.0,4594.67
2 420.19 2024 (1030),,,F.A.GIZARTE BAZTERKETAKO ,0.0,15870.0
2 420.22 2024 (1057),,,F.A.MUBIKORTASUNA.,0.0,0.0
2 420.23 2024 (943),,,F.A.HIRI-HONDAKINAK KUDEATZEKO ,6084.98,11849.22
2 420.25 2024 (1056),,,F.A.BERDINTASUN-JARDUERAK ,0.0,0.0
2 420.27 2024 (579),,,FORU ALD.HERRITAR.PARTAIDETZ.,3105.48,0.0
2 420.28 2024 (771),,,F.A. TOKIKO AGENDA 21AK ,0.0,0.0
2 420.30 2024 (634),,,F.A. ANTZERKI IHARDUNAKDIAK. ,35000.0,40000.0
2 420.31 2024 (695),,,FORU A. OROIMEN HISTORIK.,0.0,1120.0
2 420.32 2024 (696),,,FORU ALD.ANIZTASUNEAN ,4243.56,9074.0
2 420.33 2024 (698),,,FORU A.TOKIKO ENERG.AURRESP.ETA ,0.0,43265.6
2 420.36 2024 (862),,,F.A BIGAR. ESKUKO MUGIKORT.,0.0,8409.38
2 420.39 2024 (1058),,,F.A.BAZTERKETA PISUAN ,15870.0,0.0
2 420.40 2024 (1063),,,F.A.GABONETAKO ARGIAK BABESTEA,0.0,0.0
2 420.99 2024 (1018),,,F.A.KIROL DIRU LAGUNTZAK,2513.48,59184.0
2 422.02 2024 (970),,,GIPUZKOAKO BESTE UDALERRI ,100000.0,109292.13
2 471.01 2024 (51),,,BEST.ENPRES.ANTZERKI IHARDUNALD.,0.0,0.0
2 471.02 2024 (986),,,BESTE EMPRE.S.JUAN PROGRAMA,3081.0,2550.0
2 490.03 2024 (1025),,,ADMINISTRAZIOAREN ,0.0,0.0
2 540.01 2024 (52),,,HIRI-FINKEN ERRENTAMEND.EMAITZA,115046.82,128764.91
2 549.01 2024 (500),,,KIROLDEGIKO GARAJEAK,36013.18,-217.53
2 550.01 2024 (971),,,ERREBALEKO KANOKAK,1000.0,0.0
2 560.01 2024 (53),,,GORDAILULEN INTERESAK,27471.94,294947.1
2 600.01 2024 (935),,,LURRENA BESTERENGANATZETIK ,1978.62,0.0
2 612.02 2024 (803),,,BESTERENG.BESTEL.ERAIKIN ETA ,708213.66,0.0
2 614.01 2024 (735),,,GARRAIO ELEMENTUENA,0.0,0.0
2 651.01 2024 (249),,,HIRIGINTZAKO APROBETXAMENDUAK,33865.11,0.0
2 700.02 2024 (989),,,BABES ZIBILEKO LARRIALDIA,89483.41,15376.04
2 700.05 2024 (1061),,,E.J IRISGARRITASUNERAKO PLAN ,0.0,2809.92
2 710.02 2024 (198),,,E.J. DIRU-LAG.ESKOLET.OBRETARAKO,31237.26,192971.97
2 710.03 2024 (936),,,EUSKO JAURLARITZA ,0.0,718861.7
2 710.04 2024 (699),,,EUSKO JAURLARITZA. HIRIGUNE,169930.69,939.5
2 710.06 2024 (812),,,E.J. TXONT ERAIKIN.BERRIZT. LANAK ,0.0,0.0
2 710.08 2024 (565),,,E.J. HAINB. INTERTSIO EGITEKO DIRUL.,500000.0,0.0
2 710.09 2024 (1028),,,NEXT GENERETION.E.J.GABILON ,0.0,494037.53
2 710.12 2024 (1029),,,NEXT GENERETION.EJ.TORREKUA ,0.0,0.0
2 710.13 2024 (470),,,E.J.LIBURUTEG.TEKNOL.BERRIAK ,4077.03,13854.0
2 710.16 2024 (1027),,,NEXT GENERETION.E.J.TXONTA ,0.0,0.0
2 712.02 2024 (741),,,E.E.E.,0.0,0.0
2 720.01 2024 (769),,,GIPUKOAKO FORU DIPUTAZIOARENA,0.0,80000.0
2 720.04 2024 (737),,,F.ALDUNDIA. LANDA BIDEENTZAKO ,25000.0,18865.0
2 720.05 2024 (1059),,,F.A.GIZARTE BAZTERKETAKO PISUA,15870.0,0.0
2 833.01 2024 (57),,,PERTSONALAREN AURRERAKINAK,14000.0,19157.27
2 860.01 2024 (58),,,FIDANTZAK ITZULTZEA EPE ,100.0,0.0
2 860.02 2024 (118),,,EPE LUZERA FIDANTZAK IZULTZEA,100.0,0.0
2 870.01 2024 (638),,,ALTXORTEGI GERAKINA. GASTU ,9023013.44,0.0
2 870.02 2024 (72),,,DIRUZ.GERAKINA GASU ,0.0,0.0
2 933.01 2024 (59),,,TOKIKO SEKTORE PUBLIKOTIK ,11629670.58,3000000.0
