#Partida,b,c,Descripción,Hasierako aurr.,Behin bet aurr.,Atxekipenak (RC),Baimendua ,Erabilgarria,Erabilia ,Onart. Oblig.
1 0200.160.04.151.00 2024 (36),,,ELKARKIDETZAREN KUOTAK,11139.48,11139.48,0.0,9977.88,1161.6,9977.88,9977.88
1 0200.160.04.172.00 2024 (983),,,ELKARKIDETZAREN KUOTAK,1591.29,1591.29,0.0,1583.54,7.75,1583.54,1583.54
1 0200.201.01.152.20 2024 (1545),,,ERAIKINAK ETA BESTELAKO ,6000.0,8174.64,0.0,9258.84,-1084.2,9258.84,8959.17
1 0200.220.01.152.20 2024 (1546),,,MATERIAL ARRUNT EZ-,500.0,500.0,0.0,0.0,500.0,0.0,0.0
1 0200.221.01.152.20 2024 (1547),,,ENERGIA ELEKTRIKOA. TXONTA ,1000.0,1000.0,0.0,0.0,1000.0,0.0,0.0
1 0200.224.01.152.20 2024 (1235),,,ASEGURUAK,1500.0,1500.0,0.0,0.0,1500.0,0.0,0.0
1 0200.226.99.151.00 2024 (38),,,BESTE HAINB.GASTU.ORDEZK.,50000.0,50000.0,0.0,0.0,50000.0,0.0,0.0
1 0200.226.99.172.00 2024 (113),,,BESTE HAINBAT GASTU,22500.0,22500.0,0.0,88512.14,-66012.14,88512.14,77385.73
1 0200.227.05.172.00 2024 (2075),,,LUR ETA ONDASUN NATURALAK ,1500.0,1500.0,0.0,0.0,1500.0,0.0,0.0
1 0200.227.07.151.00 2024 (39),,,AZTERKETA ETA LAN TEKNIKOAK,130000.0,55000.0,0.0,1247.86,53752.14,1247.86,1247.86
1 0200.227.07.152.30 2024 (2422),,,"IKERKETA,AZERKETA EA PROIEKTUAK",0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0200.227.07.172.00 2024 (114),,,AZITAINGO LURZORUAREN KALIT.,165000.0,100000.0,0.0,62397.43,37602.57,62397.43,40998.14
1 0200.227.90.151.00 2024 (40),,,KANPOKO LANAK,20000.0,20000.0,0.0,16308.82,3691.18,16308.82,10863.14
1 0200.227.90.172.00 2024 (1247),,,KANPOKO LANAK,9736.2,9736.2,0.0,12201.07,-2464.87,12201.07,12201.07
1 0200.227.99.151.00 2024 (41),,,KONTRATOAK KANPOKOEKIN. ,1500.0,1500.0,0.0,0.0,1500.0,0.0,0.0
1 0200.227.99.172.00 2024 (115),,,KANPOKO BESTELAKO LANAK,124828.8,124828.8,0.0,73787.88,51040.92,73787.88,63894.47
1 0200.230.01.151.00 2024 (42),,,PERTSONAL ,100.0,100.0,0.0,516.62,-416.62,516.62,516.62
1 0200.230.01.172.00 2024 (986),,,"PERTSONALAREN DIETAK, GARRAIOA ",100.0,100.0,0.0,0.0,100.0,0.0,0.0
1 0200.480.01.152.20 2024 (44),,,FAMILIEI. KALEKO IGOGAILUEN ,6000.0,6000.0,0.0,0.0,6000.0,0.0,0.0
1 0200.480.01.152.30 2024 (569),,,FAMILIEI,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0200.481.01.172.00 2024 (2073),,,IRABAIZKO XEDERIK GABEKO ,11000.0,11000.0,0.0,9000.0,2000.0,9000.0,0.0
1 0200.481.21.152.20 2024 (845),,,DIRU-LAG.HERRIKO KOADRILA ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0200.600.01.172.00 2024 (2074),,,INBERTSIOAK LURRETAN,10000.0,10000.0,0.0,0.0,10000.0,0.0,0.0
1 0200.600.04.151.00 2024 (1544),,,LUR ONDARERAKO EROSKETAK,500000.0,575000.0,0.0,573288.22,1711.78,544500.0,544500.0
1 0200.601.16.172.00 2024 (987),,,"BESTE LAN BATZUK, INGURUMENA",80000.0,80000.0,0.0,37086.5,42913.5,37086.5,37086.5
1 0200.643.01.172.00 2024 (2654),,,"IKERKETA,AZTERLANAK ETA ",0.0,65000.0,0.0,62121.4,2878.6,62121.4,10442.3
