#Partida,,,Has.ko aurrek.,B. betiko aurrek.,Baimendua,Erabilgarria,Xedatua,Obligazioa,ME,Ordainketa
1 0700.626.01.333.20 2024,,INFORMAZIO PROZESUETARAKO EKIPOAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0700.626.01.334.30 2024,,INFORMAZIO-PROZEZUETARAKO EKIPOAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0700.629.01.333.10 2024,,COLISEO ANTZERKIRAKO PROIEKTOREA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0700.629.07.333.30 2024,,MUSEOTAKO FONDOAK,10000.0,10000.0,0.0,10000.0,0.0,0.0,0.0,0.0
1 0800.120.01.335.10 2024,,OINARRIZKO ORDAINKETAK,73659.21,73659.21,4821.15,68838.06,4821.15,4821.15,4821.15,4821.15
1 0800.120.01.335.20 2024,,OINARRIZKO ORDAINKETAK,143604.74,143604.74,41719.41,101885.33,41719.41,41719.41,41719.41,41719.41
1 0800.121.99.335.10 2024,,BESTE OSAGARRI BATZUK,86683.63,86683.63,8226.87,78456.76,8226.87,8226.87,8226.87,8226.87
1 0800.121.99.335.20 2024,,BESTE OSAGARRI BATZUK,125432.19,125432.19,54649.7,70782.49,54649.7,54649.7,54649.7,54649.7
1 0800.160.01.335.10 2024,,GIZARTE SEGURANTZA,40373.45,40373.45,3662.5,36710.95,3662.5,3662.5,3662.5,3662.5
1 0800.160.01.335.20 2024,,GIZARTE SEGURANTZA,72151.42,72151.42,30428.23,41723.19,30428.23,30428.23,30428.23,30428.23
1 0800.160.04.335.10 2024,,ELKARKIDETZAREN KUOTAK,3182.58,3182.58,339.33,2843.25,339.33,339.33,339.33,339.33
1 0800.160.04.335.20 2024,,ELKARKIDETZAREN KUOTAK,7670.72,7670.72,2653.74,5016.98,2653.74,2653.74,2653.74,2653.74
1 0800.211.01.335.20 2024,,ERAIKINAK ETA BESTELAKO ERAIKUNTZAK,400.0,400.0,0.0,400.0,0.0,0.0,0.0,0.0
1 0800.215.01.335.10 2024,,INFORMAZIO-PROZESUETARAKO EKIPOAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0800.219.01.335.20 2024,,BESTELAKO IBILGETU MATERIALA,300.0,300.0,0.0,300.0,0.0,0.0,0.0,0.0
1 0800.221.99.335.20 2024,,BESTELAKO HORNIDURAK,1500.0,1500.0,458.68,1041.32,458.68,361.7,134.7,134.7
1 0800.226.03.335.10 2024,,ARGITALPENAK/PUBLIZITATEA ETA PROPAGANDA,5000.0,5000.0,1011.0,3989.0,1011.0,726.0,726.0,726.0
1 0800.226.03.335.20 2024,,ARGITALPENAK/PUBLIZITATEA ETA PROPAGANDA,4300.0,4300.0,219.62,4080.38,219.62,219.62,0.0,0.0
1 0800.226.05.335.10 2024,,BILERA ETA HITZALDIAK,300.0,300.0,0.0,300.0,0.0,0.0,0.0,0.0
1 0800.226.99.335.10 2024,,BESTE HAINBAT GASTU,13847.0,13847.0,0.0,13847.0,0.0,0.0,0.0,0.0
1 0800.226.99.335.20 2024,,BESTE HAINBAT GASTU,3000.0,3000.0,0.0,3000.0,0.0,0.0,0.0,0.0
1 0800.227.04.335.10 2024,,KONTRATU SOZIOKULTURALAK,138365.0,138365.0,48113.2,90251.8,48113.2,5102.3,2021.25,2021.25
1 0800.227.04.335.10 2023,,KONTRATU SOZIOKULTURALAK,0.0,0.0,19527.44,-19527.44,19527.44,0.0,0.0,0.0
1 0800.227.87.335.10 2024,,EUSKARAREN PLAN ESTRATEGIKOA GARATZEKO,48000.0,48000.0,16917.76,31082.24,16917.76,1264.86,388.15,388.15
1 0800.227.87.335.10 2023,,EUSKARAREN PLAN ESTRATEGIKOA GARATZEKO,0.0,0.0,6768.13,-6768.13,6768.13,0.0,0.0,0.0
1 0800.230.01.335.10 2024,,PERTSONAL.DIETAK/GARRAIOA/LEKUALDAKETA,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0
1 0800.230.01.335.20 2024,,PERTSONAL.DIETAK/GARRAIOA/LEKUALDAKETA,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0
1 0800.480.01.335.10 2024,,FAMILIEI,11000.0,11000.0,0.0,11000.0,0.0,0.0,0.0,0.0
1 0800.481.01.335.10 2024,,IRABAZIZKO XEDERIK GABEKO ERAKUNDEEI,4155.0,4155.0,0.0,4155.0,0.0,0.0,0.0,0.0
1 0800.481.01.335.10 2023,,IRABAZIZKO XEDERIK GABEKO ERAKUNDEEI,0.0,0.0,1662.0,-1662.0,1662.0,0.0,0.0,0.0
1 0800.481.02.335.10 2024,,ENTIT.TRANSF.LANKIDETZ.HITZARM.,244999.0,244999.0,0.0,244999.0,0.0,0.0,0.0,0.0
1 0800.481.02.335.10 2023,,ENTIT.TRANSF.LANKIDETZ.HITZARM.,0.0,0.0,86379.6,-86379.6,86379.6,0.0,0.0,0.0
1 0800.771.04.335.10 2024,,ENPRESEI.MERKATARITZA ESTABLEZIMENDU,4250.0,4250.0,0.0,4250.0,0.0,0.0,0.0,0.0
1 0900.120.01.342.11 2024,,ONARRIZKO ORDAINKETAK,0.0,0.0,634.07,-634.07,634.07,634.07,634.07,634.07
1 0900.121.99.342.11 2024,,BESTE OSAGARRI BATZUK,0.0,0.0,1264.28,-1264.28,1264.28,1264.28,1264.28,1264.28
1 0900.130.03.342.11 2024,,ORDAINKETAK PERTSONA LABORAL FINKOARI,401068.88,401068.88,53629.89,347438.99,53629.89,53629.89,53629.89,53629.89
1 0900.130.03.342.12 2024,,ORDAINKETAK PERTSONA LABORAL FINKOARI,115068.47,115068.47,6840.96,108227.51,6840.96,6840.96,6840.96,6840.96
1 0900.130.03.342.14 2024,,ORDAINKETAK PERTSONAL LABORAL FINKOARI,69052.46,69052.46,0.0,69052.46,0.0,0.0,0.0,0.0
1 0900.131.01.342.11 2024,,LABORAL EBENTUALA,229710.7,229710.7,65222.12,164488.58,65222.12,65222.12,65222.12,65222.12
1 0900.131.01.342.12 2024,,ORDAINKETAK PERTSONA LABORAL EBENTUALA,75191.21,75191.21,39351.38,35839.83,39351.38,39351.38,39351.38,39351.38
1 0900.160.01.342.11 2024,,GIZARTE SEGURANTZA,180900.05,180900.05,41709.64,139190.41,41709.64,41709.64,41709.64,41709.64
1 0900.160.01.342.12 2024,,GIZARTE SEGURANTZA,68652.36,68652.36,14505.57,54146.79,14505.57,14505.57,14505.57,14505.57
1 0900.160.01.342.14 2024,,BESTELAKO INBERTSIOAK,29931.27,29931.27,0.0,29931.27,0.0,0.0,0.0,0.0
1 0900.160.04.342.11 2024,,ELKARKIDETZA,10899.19,10899.19,2490.48,8408.71,2490.48,2490.48,2490.48,2490.48
1 0900.160.04.342.12 2024,,ELKARKIDETZA,2182.48,2182.48,465.42,1717.06,465.42,465.42,465.42,465.42
1 0900.211.01.342.11 2024,,ERAIKINAK ETA BESTELAKO ERAIKUNTZAK,105436.0,105436.0,28059.81,77376.19,28059.81,8365.79,139.45,139.45
1 0900.211.01.342.12 2024,,ERAIKINAK ETA BESTELAKO ERAIKUNTZAK,33725.0,33725.0,16115.11,17609.89,16115.11,153.97,100.25,100.25
1 0900.211.01.342.12 2023,,ERAIKINAK ETA BESTELAKO ERAIKUNTZAK,0.0,0.0,1000.0,-1000.0,1000.0,0.0,0.0,0.0
1 0900.211.01.342.13 2024,,ERAIKINAK ETA BESTELAKO ERAIKUNTZAK,38222.49,38222.49,0.0,38222.49,0.0,0.0,0.0,0.0
1 0900.211.01.342.14 2024,,ERAIKINAK ETA BESTELAKO ERAIKUNTZAK,10000.0,10000.0,0.0,10000.0,0.0,0.0,0.0,0.0
1 0900.212.01.342.11 2024,,"MAKINARIA,INSTALAZIOAK ETA TRESNERIA",140493.13,140493.13,11549.03,128944.1,11549.03,10.65,10.65,10.65
1 0900.212.01.342.11 2023,,"MAKINARIA,INSTALAZIOAK ETA TRESNERIA",0.0,0.0,8188.72,-8188.72,8188.72,0.0,915.79,552.57
1 0900.212.01.342.12 2024,,"MAKINARIA,INSTALAZIOAK ETA TRESNERIA",57500.0,57500.0,15979.13,41520.87,15979.13,0.0,0.0,0.0
1 0900.212.01.342.12 2023,,"MAKINARIA,INSTALAZIOAK ETA TRESNERIA",0.0,0.0,3608.32,-3608.32,3608.32,0.0,1076.34,891.43
1 0900.212.01.342.13 2024,,"MAKINARIA,INSTALAZIOAK ETA TRESNERIA",51222.57,51222.57,8497.31,42725.26,8497.31,97.53,0.0,0.0
1 0900.212.01.342.13 2023,,"MAKINARIA,INSTALAZIOAK ETA TRESNERIA",0.0,0.0,4149.26,-4149.26,4149.26,0.0,409.85,189.18
1 0900.212.01.342.14 2024,,"MAKINARIA,INSTALAZIOAK ETA TRESNERIA",115000.0,115000.0,94529.61,20470.39,94529.61,5998.87,5646.87,544.66
1 0900.212.01.342.14 2023,,"MAKINARIA,INSTALAZIOAK ETA TRESNERIA",0.0,0.0,8296.95,-8296.95,8296.95,0.0,5476.3,5291.39
1 0900.213.01.342.12 2024,,GARRAIO MATERIALA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0900.213.02.342.11 2024,,BIZIKLETAREN RENTING,15000.0,15000.0,0.0,15000.0,0.0,0.0,0.0,0.0
1 0900.213.02.342.12 2024,,BIZIKLETAREN RENTING,6000.0,6000.0,0.0,6000.0,0.0,0.0,0.0,0.0
1 0900.215.01.342.11 2024,,INFORMAZIO-PROZEZUETARAKO EKIPOAK,16250.0,16250.0,3081.87,13168.13,3081.87,484.0,0.0,0.0
1 0900.215.01.342.12 2024,,INFORMAZIO-PROZEZUETARAKO APLIKAZIOA,1600.0,1600.0,0.0,1600.0,0.0,0.0,0.0,0.0
1 0900.215.01.342.14 2024,,INFORMAZIO-PROZEZUETARAKO APLIKAZIOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0900.220.01.342.11 2024,,MATERIAL ARRUNT EZ INBENTARIAGARRIAK,4000.0,4000.0,2685.72,1314.28,2685.72,62.92,62.92,62.92
1 0900.221.01.342.11 2024,,ENERGIA ELEKTRIKOA,185000.0,185000.0,185000.0,0.0,185000.0,13915.26,29399.84,13915.26
1 0900.221.01.342.12 2024,,ENERGIA ELEKTRIKOA,60000.0,60000.0,60000.0,0.0,60000.0,4905.34,9442.99,4905.34
1 0900.221.01.342.13 2024,,ENERGIA ELEKTRIKOA,24430.0,24430.0,24430.0,0.0,24430.0,2344.65,5052.12,2344.65
1 0900.221.01.342.14 2024,,ENERGIA ELEKTRIKOA,122000.0,122000.0,122000.0,0.0,122000.0,10216.67,21493.62,10216.67
1 0900.221.04.342.11 2024,,ERREGAI ETA KARBURANTEAK,230000.0,230000.0,230000.0,0.0,230000.0,22016.63,22016.63,22016.63
1 0900.221.04.342.12 2024,,ERREGAI ETA KARBURANTEAK,63000.0,63000.0,103000.0,-40000.0,103000.0,5445.92,5445.92,5445.92
1 0900.221.04.342.13 2024,,ERREGAI ETA KARBURANTEAK,6000.0,6000.0,6000.0,0.0,6000.0,853.34,853.34,853.34
1 0900.221.04.342.13 2023,,ERREGAI ETA KARBURANTEAK,0.0,0.0,3636.22,-3636.22,3636.22,0.0,201.71,201.71
1 0900.221.04.342.14 2024,,ERREGAI ETA KARBURANTEAK,108000.0,108000.0,108000.0,0.0,108000.0,7889.77,7889.77,7889.77
1 0900.221.04.342.14 2023,,ERREGAI ETA KARBURANTEAK,0.0,0.0,44881.93,-44881.93,44881.93,0.0,4720.06,4720.06
1 0900.221.05.342.11 2024,,ARROPAK,1000.0,1000.0,0.0,1000.0,0.0,0.0,0.0,0.0
1 0900.221.05.342.12 2024,,ARROPAK,2000.0,2000.0,0.0,2000.0,0.0,0.0,0.0,0.0
1 0900.221.05.342.14 2024,,ARROPAK,1500.0,1500.0,0.0,1500.0,0.0,0.0,0.0,0.0
1 0900.221.08.342.11 2024,,FRAMAZI PRODUKTOAK ETA HEMODERIBATUAK,4000.0,4000.0,0.0,4000.0,0.0,0.0,0.0,0.0
1 0900.221.09.342.11 2024,,GARBIKETAK ETA TXUKUNETA PRODUKTUAK,1000.0,1000.0,0.0,1000.0,0.0,0.0,0.0,0.0
1 0900.221.09.342.12 2024,,GARBIKETAK ETA TXUKUNETA PRODUKTUAK,8000.0,8000.0,0.0,8000.0,0.0,0.0,0.0,0.0
1 0900.221.11.342.11 2024,,TRESNAK ETA ERRAMINTAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0900.221.11.342.12 2024,,TRESNAK ETA ERRAMINTAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0900.221.12.342.11 2024,,OSASUN MATERIALA,500.0,500.0,0.0,500.0,0.0,0.0,0.0,0.0
1 0900.221.90.342.11 2024,,ZERBITZU OSAGAI BEREZIAK,72500.0,72500.0,19618.5,52881.5,19618.5,0.0,0.0,0.0
1 0900.221.90.342.11 2023,,ZERBITZU OSAGAI BEREZIAK,0.0,0.0,559.02,-559.02,559.02,0.0,319.44,319.44
1 0900.221.90.342.12 2024,,ZERBITZUAREN OSAGAI BEREZIAK,15000.0,15000.0,423.5,14576.5,423.5,0.0,0.0,0.0
1 0900.221.90.342.14 2024,,ZERBITZU OSAGAI BEREZIAK,25000.0,25000.0,27261.05,-2261.05,27261.05,1686.47,0.0,0.0
1 0900.221.99.341.00 2024,,BESTELAKO HORNIDURAK (GARAIKURRAK),6500.0,6500.0,615.38,5884.62,615.38,0.0,0.0,0.0
1 0900.221.99.341.00 2023,,BESTELAKO HORNIDURAK (GARAIKURRAK),0.0,0.0,3187.22,-3187.22,3187.22,0.0,0.0,0.0
1 0900.221.99.342.11 2024,,BESTELAKO HORNIDURAK,25000.0,25000.0,222.7,24777.3,222.7,0.0,0.0,0.0
1 0900.221.99.342.14 2024,,BESTELAKO HORNIDURAK,12000.0,12000.0,0.0,12000.0,0.0,0.0,0.0,0.0
1 0900.222.01.342.11 2024,,TELEFONO BIDEZKOA,8000.0,8000.0,12705.0,-4705.0,12705.0,766.47,0.0,0.0
1 0900.222.01.342.12 2024,,TELEFONIKA,1000.0,1000.0,0.0,1000.0,0.0,0.0,0.0,0.0
1 0900.222.01.342.14 2024,,TELEFONO BIDEZKOA,2500.0,2500.0,0.0,2500.0,0.0,0.0,0.0,0.0
1 0900.222.02.342.11 2024,,POSTA BIDEZKOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0900.224.02.342.12 2024,,IBILGAILUENAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0900.226.02.342.11 2024,,PROTOKOLO ETA ORDEZKARITZA GASTUAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0900.226.03.342.11 2024,,"ARGITALPENAK,PUBLIZATATEA ETA PROPAGANDA",1000.0,1000.0,988.45,11.55,988.45,775.49,210.54,210.54
1 0900.226.03.342.11 2023,,"ARGITALPENAK,PUBLIZATATEA ETA PROPAGANDA",0.0,0.0,489.14,-489.14,489.14,0.0,489.14,489.14
1 0900.226.03.342.12 2024,,"ARGITALPENAK,PUBLIZATATEA ETA PROPAGANDA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0900.226.04.342.11 2024,,JURIDIKOAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0900.226.06.342.11 2024,,JARDUERA SOCIOKULTURALAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0900.226.99.342.11 2024,,BESTE HAINBAT GASTU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0900.226.99.342.11 2023,,BESTE HAINBAT GASTU,0.0,0.0,1043.02,-1043.02,1043.02,0.0,0.0,0.0
1 0900.226.99.342.12 2024,,BESTE HAINBAT GASTU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0900.226.99.342.13 2024,,BESTE HAINBAT GASTU,7500.0,7500.0,0.0,7500.0,0.0,0.0,0.0,0.0
1 0900.226.99.342.14 2024,,BESTE HAINBAT GASTU,7500.0,7500.0,0.0,7500.0,0.0,0.0,0.0,0.0
1 0900.227.01.342.11 2024,,GARBIKETA,180000.0,180000.0,177652.81,2347.19,177652.81,14804.4,14804.4,0.0
1 0900.227.01.342.11 2023,,GARBIKETA,0.0,0.0,14804.41,-14804.41,14804.41,0.0,14804.4,14804.4
1 0900.227.01.342.12 2024,,GARBIKETA,133770.0,133770.0,76260.0,-50432.68,76260.0,12705.0,0.0,0.0
1 0900.227.01.342.12 2023,,GARBIKETA,0.0,0.0,6352.5,-6352.5,6352.5,0.0,0.0,0.0
1 0900.227.01.342.13 2024,,GARBIKETA,15000.0,15000.0,14246.01,753.99,14246.01,1375.38,0.0,0.0
1 0900.227.01.342.13 2023,,GARBIKETA,0.0,0.0,1312.42,-1312.42,1312.42,0.0,1103.81,1103.81
1 0900.227.01.342.14 2024,,GARBIKETA,116564.0,116564.0,74415.0,-46820.86,74415.0,12402.5,0.0,0.0
1 0900.227.01.342.14 2023,,GARBIKETA,0.0,0.0,6201.25,-6201.25,6201.25,0.0,0.0,0.0
1 0900.227.03.342.12 2024,,GARRRAIO KONTRATUA,36000.0,36000.0,23203.38,12796.62,23203.38,7734.48,7734.48,0.0
1 0900.227.07.342.11 2024,,AZTERKETA ETA LAN TEKNIKOAK,25000.0,25000.0,0.0,25000.0,0.0,0.0,0.0,0.0
1 0900.227.08.342.11 2024,,GARRAIO-KONTRATUAK,15000.0,15000.0,13365.0,1635.0,13365.0,0.0,0.0,0.0
1 0900.227.99.341.00 2024,,KANPOKO BESTELAKO LANAK,160000.0,160000.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0900.227.99.342.11 2024,,KANPOKO BESTELAKO LANAK,570210.0,570210.0,464202.98,106007.02,464202.98,33905.91,1916.64,1916.64
1 0900.227.99.342.11 2023,,KANPOKO BESTELAKO LANAK,0.0,0.0,67820.23,-67820.23,67820.23,0.0,32380.37,14025.29
1 0900.227.99.342.12 2024,,KANPOKO BESTELAKO LANAK,80000.0,80000.0,71415.81,8584.19,71415.81,5951.31,5951.31,0.0
1 0900.227.99.342.12 2023,,KANPOKO BESTELAKO LANAK,0.0,0.0,4877.23,-4877.23,4877.23,0.0,4877.11,0.0
1 0900.227.99.342.13 2024,,KANPOKO BESTELAKO LANAK,7000.0,7000.0,0.0,7000.0,0.0,0.0,0.0,0.0
1 0900.227.99.342.14 2024,,KANPOKO BESTELAKO LANAK,325224.09,325224.09,306657.04,18567.05,306657.04,39437.12,38326.34,0.0
1 0900.227.99.342.14 2023,,KANPOKO BESTELAKO LANAK,0.0,0.0,33905.93,-33905.93,33905.93,0.0,22531.23,2802.69
1 0900.230.01.342.10 2024,,"PERTSONALAREN DIETAK,GARRAIOA ETA LEKU",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0900.230.01.342.11 2024,,"PERTSONALARAREN DIETAK,GARRAIOA ETA LEKU",100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0
1 0900.230.01.342.13 2024,,"PERTSONALAREN DIETAK, GARRAIOA ETA LEKUA",100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0
1 0900.230.01.342.14 2024,,"PERTSONALAREN DIETAK, GARRAIOA ETA LEKUA",100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0
1 0900.431.01.342.10 2024,,ERAKUNDE AUTONOMOEI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0900.481.01.341.00 2024,,IRABAZIZKO XEDERIK GABEKO ERAKUNDEEI,175000.0,175000.0,0.0,175000.0,0.0,0.0,0.0,0.0
1 0900.481.01.341.00 2023,,IRABAZIZKO XEDERIK GABEKO ERAKUNDEEI,0.0,0.0,10448.0,-10448.0,10448.0,0.0,0.0,0.0
1 0900.481.01.341.00 2022,,IRABAZIZKO XEDERIK GABEKO ERAKUNDEEI,0.0,0.0,7514.56,-7514.56,7514.56,0.0,0.0,0.0
1 0900.481.01.342.11 2024,,IRABAZIZKO XEDERIK GABEKO ERAKUNDEEI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0900.481.02.341.00 2024,,ENTIT.TRANSF.LANKIDETZ.HITZARM.,318800.0,318800.0,0.0,318800.0,0.0,0.0,0.0,0.0
1 0900.481.02.341.00 2023,,ENTIT.TRANSF.LANKIDETZ.HITZARM.,0.0,0.0,59497.05,-59497.05,59496.06,0.0,0.0,0.0
1 0900.481.16.342.11 2024,,IKASTEETXEEI TRANSFERENTZIAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0900.481.16.342.11 2023,,IKASTEETXEEI TRANSFERENTZIAK,0.0,0.0,1828.65,-1828.65,1828.65,0.0,0.0,0.0
1 0900.481.22.341.00 2024,,KIROL-PROBETARA/TXAPELKETETARA JOATEA,59200.0,59200.0,0.0,59200.0,0.0,0.0,0.0,0.0
1 0900.601.16.342.10 2024,,HAINBAT LAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0900.623.01.342.11 2024,,"MAKINARIA,INSTALAZIOAK ETA TRESNERIA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0900.623.01.342.12 2024,,MAKINERIA,5000.0,5000.0,0.0,5000.0,0.0,0.0,0.0,0.0
1 0900.623.04.342.11 2024,,KIROL DEPORTIBOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0900.623.04.342.11 2023,,KIROL DEPORTIBOA,0.0,0.0,1287.06,-1287.06,1287.06,0.0,0.0,0.0
1 0900.623.04.342.14 2024,,DEPOSITOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0900.623.05.342.14 2024,,EKIPOAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 0900.625.01.342.11 2024,,ALTZARIAK,10500.0,10500.0,0.0,10500.0,0.0,0.0,0.0,0.0
1 0900.625.04.342.11 2024,,ARGAZKI ETA IKUS-ENTZUNEZKO EKIPOAK,2000.0,2000.0,0.0,2000.0,0.0,0.0,0.0,0.0
1 0900.625.99.342.11 2024,,BESTELAKO LANABESAK,15201.47,15201.47,0.0,15201.47,0.0,0.0,0.0,0.0
1 0900.629.01.342.11 2024,,BESTELAKO INBERTSIOAK,42500.0,42500.0,0.0,42500.0,0.0,0.0,0.0,0.0
1 0900.629.01.342.13 2024,,BESTELAKO INBERTSIOAK,10000.0,10000.0,0.0,10000.0,0.0,0.0,0.0,0.0
1 0900.629.01.342.14 2024,,BESTELAKO INBERTSIOAK,10000.0,10000.0,0.0,10000.0,0.0,0.0,0.0,0.0
1 1000.120.01.241.00 2024,,OINARRIZKO ORDAINKETAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 1000.120.01.433.10 2024,,OINARRIZKO ORDAINKETAK,63818.13,63818.13,8836.96,54981.17,8836.96,8836.96,8836.96,8836.96
1 1000.120.01.493.00 2024,,OINARRIZKO ORDAINKETAK,33723.56,33723.56,6247.64,27475.92,6247.64,6247.64,6247.64,6247.64
1 1000.121.99.241.00 2024,,BESTE OSAGARRI BATZUK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 1000.121.99.433.10 2024,,BESTE OSAGARRI BATZUK,76415.17,76415.17,14972.59,61442.58,14972.59,14972.59,14972.59,14972.59
1 1000.121.99.493.00 2024,,BESTE OSAGARRI BATZUK,48481.82,48481.82,9093.59,39388.23,9093.59,9093.59,9093.59,9093.59
1 1000.131.01.241.00 2024,,LABORAL EBENTUALA,160198.97,160198.97,68733.28,91465.69,68733.28,68733.28,68733.28,68733.28
1 1000.131.01.433.10 2024,,LABORAL EBENTUALA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 1000.160.01.241.00 2024,,GIZARTE SEGURANTZA,28839.4,28839.4,23579.74,5259.66,23579.74,23579.74,23579.74,23579.74
1 1000.160.01.433.10 2024,,GIZARTE SEGURANTZA,31849.08,31849.08,8404.18,23444.9,8404.18,8404.18,8404.18,8404.18
1 1000.160.01.493.00 2024,,GIZARTE SEGURANTZA,23913.96,23913.96,3795.39,20118.57,3795.39,3795.39,3795.39,3795.39
1 1000.160.04.433.10 2024,,ELKARKIDETZA KUOTAK,1305.55,1305.55,278.43,1027.12,278.43,278.43,278.43,278.43
1 1000.160.04.493.00 2024,,ELKARKIDETZAREN KUOTAK,1305.55,1305.55,278.43,1027.12,278.43,278.43,278.43,278.43
1 1000.201.01.241.00 2024,,ERAIKINAK ETA BESTELAKO ERAIKUNTZAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 1000.201.01.431.20 2024,,ERAIKINAK ETA BESTELAKO ERAIKUNTZAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 1000.201.01.433.10 2024,,ERAIKINAK ETA BESTELAKO ERAIKUNTZAK,13388.1,13388.1,2286.0,11102.1,2286.0,2286.0,2286.0,2286.0
1 1000.211.01.431.20 2024,,ERAIKINAK ETA BESTELAKO ERAIKUNTZAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 1000.226.03.241.00 2024,,"ARGITALPENAK, PUBLIZITATE ETA PROPAGANDA",1500.0,1500.0,0.0,1500.0,0.0,0.0,0.0,0.0
1 1000.226.03.433.10 2024,,"ARGITALPENAK, PUBLIZITATEA ETA PROPAGAND",2000.0,2000.0,43.56,1956.44,43.56,0.0,0.0,0.0
1 1000.226.80.433.10 2024,,BESTE GASTU BATZ.AIZTAIN.IND.POLIG.3 LOK,3500.0,3500.0,0.0,3500.0,0.0,0.0,0.0,0.0
1 1000.226.99.241.00 2024,,BESTE HAINBAT GASTU,20000.0,20000.0,1397.0,18603.0,1397.0,1397.0,1397.0,0.0
1 1000.226.99.433.10 2024,,BESTE HAINBAT GASTU,200000.0,200000.0,17415.43,182584.57,17415.43,1927.05,1003.05,260.0
1 1000.226.99.433.10 2022,,BESTE HAINBAT GASTU,0.0,0.0,28609.15,-28609.15,28609.15,0.0,28428.95,28428.95
1 1000.226.99.493.00 2024,,BESTE HAINBAT GASTU,2050.0,2050.0,0.0,2050.0,0.0,0.0,0.0,0.0
1 1000.227.01.431.20 2024,,IPURUA MERKATUTAKO GARBIKETA,6000.0,6000.0,5309.15,690.85,5309.15,0.0,0.0,0.0
1 1000.227.04.336.10 2024,,KONTRATU SOZIO-KULTURALAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 1000.227.07.433.10 2024,,AZTERKETA ETA LAN TEKNIKOAK,40000.0,40000.0,1680.0,38320.0,1680.0,0.0,0.0,0.0
1 1000.227.90.241.00 2024,,KANPOKO LANAK.EMPLEGU SORTZEKO HITZAR.,12000.0,12000.0,6000.0,6000.0,6000.0,0.0,0.0,0.0
1 1000.227.99.241.00 2024,,KANPOKO BESTELAKO LANAK,107945.0,107945.0,16569.1,91375.9,16569.1,1576.99,1576.99,1576.99
1 1000.227.99.241.00 2023,,KANPOKO BESTELAKO LANAK,0.0,0.0,48383.49,-48383.49,15383.49,0.0,6655.11,6655.11
1 1000.230.01.241.00 2024,,PERTSONAL.DIETAK/GARRAIOA/LEKUALDAKETA,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0
1 1000.230.01.433.10 2024,,PERTSONAL.DIETAK/GARRAIOA/LEKUALDAKETA,100.0,100.0,187.36,-87.36,187.36,187.36,187.36,187.36
1 1000.230.01.493.00 2024,,PERTSONAL.DIETAK/GARRAIOA/LEKUALDAKETA,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0
1 1000.470.01.241.00 2024,,"DEBEGESARI TRANSFERENTZIA, ENPLEGU PROG",38000.0,38000.0,0.0,38000.0,0.0,0.0,0.0,0.0
