#Partida,,,,Has.ko aurrek.,B. betiko aurrek.,Atxikipenak,Baimendua,Erabilgarria,Xedatua,Obligazioa,ME,Ordainketa
1 0100.100.01.111.00 2014,,5,OINARRIZKO ORDAINKETAK ETA BESTELAKO ORD,496765.0,496765.0,,496764.66,0.34,496764.66,496764.66,496764.66,496764.66
1 0100.110.01.111.00 2014,,7,OINARRIZKO ORDAINKETAK ETA BEST.ORDAINS.,46555.74,46555.74,,46555.78,-0.04,46555.78,46555.78,46555.78,46555.78
1 0100.120.01.121.10 2014,,11,OINARRIZKO ORDAINKETAK,154600.69,154600.69,,117199.95,37400.74,117199.95,117199.95,117199.95,117199.95
1 0100.120.01.121.20 2014,,2824,OINARRIZKO ORDAINKETAK,9140.96,9140.96,,9129.36,11.6,9129.36,9129.36,9129.36,9129.36
1 0100.120.01.121.30 2014,,26,OINARRIZKO ORDAINKETAK,79266.53,79266.53,,79006.69,259.84,79006.69,79006.69,79006.69,79006.69
1 0100.120.01.121.40 2014,,32,OINARRIZKO ORDAINKETAK,78644.93,78644.93,,54083.22,24561.71,54083.22,54083.22,54083.22,54083.22
1 0100.120.01.121.50 2014,,46,OINARRIZKO ORDAINKETAK,62157.06,62157.06,,61639.04,518.02,61639.04,61639.04,61639.04,61639.04
1 0100.121.05.121.10 2014,,3568,BESTE. ORDAINSARIAK. PERTS.FUNTZIONAR.,,6178.28,,6178.28,,6178.28,6178.28,6178.28,6178.28
1 0100.121.05.121.20 2014,,3569,BESTE. ORDAINSARIAK. PERTS.FUNTZIONAR.,,485.96,,485.96,,485.96,485.96,485.96,485.96
1 0100.121.05.121.30 2014,,3570,BESTE. ORDAINSARIAK. PERTS.FUNTZIONAR.,,3599.68,,3599.68,,3599.68,3599.68,3599.68,3599.68
1 0100.121.05.121.40 2014,,3571,BESTE. ORDAINSARIAK. PERTS.FUNTZIONAR.,,2923.3,,2923.3,,2923.3,2923.3,2923.3,2923.3
