#Partida,,,,Has.ko aurrek.,B. betiko aurrek.,Atxikipenak,Baimendua,Erabilgarria,Xedatua,Obligazioa,ME,Ordainketa
1 0100.120.01.130.00 2016,,3,OINARRIZKO ORDAINKETAK,130626.63,130626.63,,117738.2,12888.43,117738.2,117738.2,117738.2,117738.2
1 0100.120.01.132.00 2016,,13,OINARRIZKO ORDAINKETAK,273496.05,273496.05,,257676.84,15819.21,257676.84,257676.84,257676.84,257676.84
1 0100.120.01.133.10 2016,,19,OINARRIZKO ORDAINKETAK,192292.14,192292.14,,154934.66,37357.48,154934.66,154934.66,154934.66,154934.66
1 0100.121.05.130.00 2016,,591,BESTE ORDAINSARIAK,1.0,10271.56,,10270.56,1.0,10270.56,10270.56,10270.56,10270.56
1 0100.121.05.132.00 2016,,592,BESTE ORDAINSARIAK,1.0,20660.93,,20659.93,1.0,20659.93,20659.93,20659.93,20659.93
1 0100.121.05.133.10 2016,,593,BESTE ORDAINSARIAK,1.0,13638.31,,13637.31,1.0,13637.31,13637.31,13637.31,13637.31
1 0100.121.99.130.00 2016,,4,BESTE OSAGARRI BATZUK,242690.06,242690.06,,286798.73,-44108.67,286798.73,286798.73,286798.73,286798.73
1 0100.121.99.132.00 2016,,14,BESTE OSAGARRI BATZUK,542326.64,542326.64,,595149.68,-52823.04,595149.68,595149.68,595149.68,595149.68
1 0100.121.99.133.10 2016,,20,BESTE OSAGARRI BATZUK,367022.66,367022.66,,340549.85,26472.81,340549.85,340549.85,340549.85,340549.85
1 0100.160.01.130.00 2016,,5,GIZARTE SEGURANTZA,115295.81,115295.81,,106613.19,8682.62,106613.19,106613.19,106613.19,106613.19
1 0100.160.01.132.00 2016,,15,GIZARTE SEGURANTZA,266410.73,266410.73,,231794.89,34615.84,231794.89,231794.89,231794.89,231794.89
1 0100.160.01.133.10 2016,,21,GIZARTE SEGURANTZA,182827.86,182827.86,,132889.26,49938.6,132889.26,132889.26,132889.26,132889.26
1 0100.160.04.130.00 2016,,6,ELKARKIDETZAREN KUOTAK,9087.68,9087.68,,10244.89,-1157.21,10244.89,10244.89,10244.89,10244.89
