#Partida,,,,Has.ko aurrek.,B. betiko aurrek.,Atxikipenak,Baimendua,Erabilgarria,Xedatua,Obligazioa,ME,Ordainketa
1 0100.120.01.130.00 2023,,3.0,OINARRIZKO ORDAINKETAK,143212.84,143212.84,0.0,235393.23,-92180.39,235393.23,235393.23,235393.23,235393.23
1 0100.120.01.132.00 2023,,13.0,OINARRIZKO ORDAINKETAK,318469.62,318469.62,0.0,150391.87,168077.75,150391.87,150391.87,150391.87,150391.87
1 0100.120.01.133.10 2023,,19.0,OINARRIZKO ORDAINKETAK,228039.74,228039.74,0.0,86847.19,141192.55,86847.19,86847.19,86847.19,86847.19
1 0100.121.99.130.00 2023,,4.0,BESTE OSAGARRI BATZUK,272620.46,272620.46,0.0,464678.65,-192058.19,464678.65,464678.65,464678.65,464678.65
1 0100.121.99.132.00 2023,,14.0,BESTE OSAGARRI BATZUK,679735.52,679735.52,0.0,331665.2,348070.32,331665.2,331665.2,331665.2,331665.2
1 0100.121.99.133.10 2023,,20.0,BESTE OSAGARRI BATZUK,441237.78,441237.78,0.0,179826.77,261411.01,179826.77,179826.77,179826.77,179826.76
1 0100.160.01.130.00 2023,,5.0,GIZARTE SEGURANTZA,141371.55,141371.55,0.0,257705.14,-116333.59,257705.14,257705.14,257705.14,257705.14
1 0100.160.01.132.00 2023,,15.0,GIZARTE SEGURANTZA,372901.72,372901.72,0.0,176879.01,196022.71,176879.01,176879.01,176879.01,176879.01
1 0100.160.01.133.10 2023,,21.0,GIZARTE SEGURANTZA,257931.19,257931.19,0.0,100098.26,157832.93,100098.26,100098.26,100098.26,100098.26
1 0100.160.04.130.00 2023,,6.0,ELKARKIDETZAREN KUOTAK,10816.11,10816.11,0.0,11262.5,-446.39,11262.5,11262.5,11262.5,11262.5
1 0100.160.04.132.00 2023,,16.0,ELKARKIDETZAREN KUOTAK,11526.15,11526.15,0.0,7118.0,4408.15,7118.0,7118.0,7118.0,7118.0
1 0100.160.04.133.10 2023,,22.0,ELKARKIDETZAREN KUOTAK,8851.58,8851.58,0.0,5496.0,3355.58,5496.0,5496.0,5496.0,5496.0
1 0100.202.01.133.10 2023,,2069.0,RADAR-EKIPOAK ALOKATZEA,72539.5,72539.5,72539.5,0.0,0.0,0.0,0.0,0.0,0.0
1 0100.202.01.133.10 2022,,2449.0,RADAR-EKIPOAK ALOKATZEA,0.0,59895.0,0.0,0.0,59895.0,0.0,43560.0,43560.0,43560.0
1 0100.212.01.132.00 2023,,17.0,MAKINERIA/INSTALAZ/TRESNERIA,12000.0,12000.0,0.0,3817.91,8182.09,3817.91,121.0,121.0,108.9
1 0100.213.01.130.00 2023,,7.0,GARRAIO-MATERIALA,15000.0,15000.0,0.0,9757.93,5242.07,9757.93,5704.56,5704.56,4561.24
1 0100.213.02.132.00 2023,,1542.0,IBILGAILUEN RENTING,48000.0,48000.0,0.0,30547.44,17452.56,30547.44,20364.96,20364.96,20364.96
1 0100.213.02.132.00 2022,,2450.0,IBILGAILUEN RENTING,0.0,2545.62,0.0,0.0,2545.62,0.0,2545.62,2545.62,2545.62
